"Sp","Betacov","R.Alb","R.Car3","R.Dal1","R.Far1","R.Gut1","R.Po2","R.Po3","R.Stock1","P.Alb","P.Car3","P.Dal1","P.Far1","P.Gut1","P.Po2","P.Po3","P.Stock1","Rank","PropRank","InSample"
"Cynopterus sphinx",1,0.0113052415210689,0.00268817204301075,0.0275590551181102,0.031496062992126,0.00268817204301075,0.0412371134020619,0.0391644908616188,0.0199335548172757,0.261447368421053,0.457820925788945,1.02329147891185,0.424368958658,0.971556247774849,0.8,0.324392143289781,0.596249150177036,8.3125,0.0220089828497854,1
"Rousettus aegyptiacus",1,0.0359712230215827,0.000896057347670251,0.133858267716535,0.0078740157480315,0.0017921146953405,0.0412371134020619,0.00522193211488251,0.0161366872330327,0.244736842105263,0.526163931130359,0.834221442003587,0.56885961480721,0.976128275758219,0.8,0.390326209223847,0.609351154323455,12.25,0.0303734264098922,1
"Eidolon helvum",1,0.079136690647482,0.0017921146953405,0.137795275590551,0.0118110236220472,0.003584229390681,0.00687285223367698,0.00522193211488251,0.0389178927384907,0.231052631578947,0.482860127369703,0.825326772688239,0.543432364495717,0.970758494547665,1,0.390326209223847,0.531223429494679,20.5,0.035641501379144,1
"Eonycteris spelaea",1,0.0611510791366906,0.0152329749103943,0.078740157480315,0.0433070866141732,0.00448028673835125,0.0412371134020619,0.0391644908616188,0.0237304224015187,0.236973684210526,0.373476061675537,0.91153826467712,0.41670677340564,0.965983994389957,0.8,0.324392143289781,0.578234284293689,18.875,0.0383804514431405,1
"Rousettus leschenaultii",1,0.0102774922918808,0.00448028673835125,0.255905511811024,0.00393700787401575,0.000896057347670251,0.0412371134020619,0.00522193211488251,0.003796867584243,0.261842105263158,0.456310364250336,0.697459433487633,0.575533786118961,0.977294882791808,0.8,0.390326209223847,0.772891645872987,11.625,0.0407190336455161,1
"Rhinolophus ferrumequinum",1,0.00308324768756423,0.025089605734767,0.118110236220472,0.0354330708661417,0.028673835125448,0.151202749140893,0.0809399477806789,0.00094921689606075,0.273552631578947,0.348983991356754,0.874055175628209,0.419585831713048,0.943541189374634,0.6,0.302414121311759,0.874326475673618,17.5625,0.0554352386815033,1
"Pipistrellus pipistrellus",1,0.013360739979445,0.039426523297491,0.00393700787401575,0.0866141732283465,0.104838709677419,0.151202749140893,0.0809399477806789,0.049359278595159,0.260657894736842,0.318960688593588,1.03405714753242,0.369979425158603,0.868954561546873,0.6,0.302414121311759,0.514110982740336,35.8125,0.0662098911966811,1
"Cynopterus brachyotis",1,0.0318602261048304,0.00985663082437276,0.141732283464567,0.0984251968503937,0.032258064516129,0.151202749140893,0.0809399477806789,0.0322733744660655,0.246184210526316,0.392153219165135,0.820218802643947,0.362150893139204,0.939392456558616,0.6,0.302414121311759,0.548291531986456,26.3125,0.0723185591434913,1
"Miniopterus schreibersii",1,0.289311408016444,0.0170250896057348,0.0826771653543307,0.0511811023622047,0.039426523297491,0.151202749140893,0.0391644908616188,0.07593735168486,0.190657894736842,0.364008599116936,0.909578640940235,0.409283248641356,0.932449961453237,0.6,0.324392143289781,0.469923851911705,61,0.0932407350404472,1
"Epomophorus gambianus",1,0.127954779033916,0.00537634408602151,0.208661417322835,0.0826771653543307,0.100358422939068,0.151202749140893,0.0809399477806789,0.0256288561936402,0.223552631578947,0.434636380730328,0.757682850809307,0.383053314776728,0.872446284757455,0.6,0.302414121311759,0.576009455552342,47.625,0.0978499602314229,1
