"Sp","Betacov","R.Alb","R.Car3","R.Gut1","Rank","PropRank","InSample"
"Cynopterus sphinx",1,0.0113052415210689,0.00268817204301075,0.00268817204301075,6.64285714285714,0.0228679022650033,1
"Rhinolophus luctus",0,0.00411099691675231,0.0609318996415771,0.0125448028673835,28.6666666666667,0.0258625664752376,0
"Macroglossus sobrinus",0,0.0426515930113052,0.0295698924731183,0.0152329749103943,30.5,0.0291514867982726,0
"Rousettus aegyptiacus",1,0.0359712230215827,0.000896057347670251,0.0017921146953405,11.5714285714286,0.0324072462923007,1
"Lissonycteris angolensis",0,0.0339157245632066,0.0125448028673835,0.0564516129032258,36.6666666666667,0.0343040467779386,0
"Eidolon helvum",1,0.079136690647482,0.0017921146953405,0.003584229390681,17.5714285714286,0.0351734454706659,1
"Scotomanes ornatus",0,0.0195272353545735,0.0806451612903226,0.017921146953405,43,0.039364514532767,0
"Eonycteris spelaea",1,0.0611510791366906,0.0152329749103943,0.00448028673835125,18,0.0404733127348007,1
"Myotis chinensis",0,0.0236382322713258,0.0734767025089606,0.0259856630824373,44.6666666666667,0.0410335326209079,0
"Nyctalus leisleri",0,0.0380267214799589,0.0519713261648745,0.0367383512544803,45.3333333333333,0.0422454662997712,0
"Rousettus leschenaultii",1,0.0102774922918808,0.00448028673835125,0.000896057347670251,12.7142857142857,0.0459936287971266,1
"Myotis formosus",0,0.0174717368961973,0.100358422939068,0.0224014336917563,51.3333333333333,0.0467438645090072,0
"Rhinolophus fumigatus",0,0.0611510791366906,0.046594982078853,0.0331541218637993,49.5,0.0469667276931143,0
"Scotophilus heathii",0,0.0298047276464543,0.0994623655913978,0.0170250896057348,53,0.0487640609478623,0
"Sphaerias blanfordi",0,0.101233299075026,0.003584229390681,0.0483870967741935,52.1666666666667,0.0510682084133001,0
"Myotis altarium",0,0.0513874614594039,0.0698924731182796,0.046594982078853,60,0.0559583055521788,0
"Pipistrellus tenuis",0,0.00205549845837616,0.0922939068100358,0.0788530465949821,64.3333333333333,0.0577341506211314,0
"Nycticeinops schlieffeni",0,0.0930113052415211,0.0206093189964158,0.0636200716845878,61.5,0.0590802319741749,0
"Pipistrellus rueppellii",0,0.104830421377184,0.0197132616487455,0.0546594982078853,61.6666666666667,0.0597343937446049,0
"Rhinolophus ferrumequinum",1,0.00308324768756423,0.025089605734767,0.028673835125448,19.7857142857143,0.0626565263831357,1
"Myotis oxygnathus",0,NA,0.0528673835125448,0.0770609318996416,72.5,0.0649641577060932,0
"Pipistrellus pipistrellus",1,0.013360739979445,0.039426523297491,0.104838709677419,33.3571428571429,0.0680546918720392,1
"Rhinolophus landeri",0,0.0585817060637204,0.0636200716845878,0.0851254480286738,74.3333333333333,0.069109075258994,0
"Pipistrellus javanicus",0,0.00616649537512847,0.0949820788530466,0.10663082437276,77,0.069259799533645,0
"Myotis montivagus",0,0.0483042137718397,0.0896057347670251,0.0716845878136201,75.6666666666667,0.0698648454508283,0
"Pipistrellus ceylonicus",0,0.0369989722507708,0.118279569892473,0.0752688172043011,84,0.076849119782515,0
"Myotis muricola",0,0.00102774922918808,0.115591397849462,0.115591397849462,86.3333333333333,0.0774035149760376,0
"Myotis siligorensis",0,0.0092497430626927,0.0860215053763441,0.139784946236559,87,0.0783520648918653,0
"Cynopterus brachyotis",1,0.0318602261048304,0.00985663082437276,0.032258064516129,25.5,0.0791641592042709,1
"Kerivoula hardwickii",0,0.0143884892086331,0.127240143369176,0.103942652329749,90.6666666666667,0.0818570949691859,0
"Murina cyclotis",0,0.0282631038026721,0.120071684587814,0.102150537634409,91.8333333333333,0.0834951086749648,0
"Hypsugo pulveratus",0,NA,0.0869175627240143,0.0815412186379928,94,0.0842293906810036,0
"Rhinolophus yunanensis",0,0.130010277492292,0.0967741935483871,0.0340501792114695,90.8333333333333,0.0869448834173828,0
"Barbastella leucomelas",0,0.0205549845837616,0.181003584229391,0.0618279569892473,97,0.0877955086007998,0
"Megaerops ecaudatus",0,0.151079136690647,0.0573476702508961,0.0591397849462366,92.3333333333333,0.0891888639625934,0
"Kerivoula picta",0,0.0349434737923947,0.116487455197133,0.121863799283154,100,0.0910982427575605,0
"Rhinolophus trifoliatus",0,0.0637204522096608,0.17741935483871,0.0403225806451613,101.666666666667,0.0938207958978439,0
"Miniopterus schreibersii",1,0.289311408016444,0.0170250896057348,0.039426523297491,58.2857142857143,0.0957126469483882,1
"Rhinolophus marshalli",0,0.052415210688592,0.135304659498208,0.103046594982079,105.666666666667,0.0969221550562929,0
"Rhinolophus lepidus",0,0.0411099691675231,0.129928315412186,0.120967741935484,106.666666666667,0.0973353421717311,0
"Myotis laniger",0,0.0328879753340185,0.149641577060932,0.110215053763441,107.333333333333,0.0975815353861304,0
"Pteropus giganteus",1,0.0971223021582734,0.0134408602150538,0.0241935483870968,36.4285714285714,0.0979710064967531,1
"Rhinolophus osgoodi",0,NA,0.113799283154122,0.0931899641577061,115.5,0.103494623655914,0
"Plecotus austriacus",0,0.0801644398766701,0.176523297491039,0.0609318996415771,114.333333333333,0.105873212336429,0
"Hesperoptenus tickelli",0,0.131551901336074,0.0797491039426523,0.10752688172043,112.333333333333,0.106275962333052,0
"Neoromicia rendalli",0,0.0647482014388489,0.0752688172043011,0.17921146953405,115.666666666667,0.106409496059067,0
"Myotis daubentonii",1,0.0719424460431655,0.043010752688172,0.0905017921146953,48.0714285714286,0.107508331098409,1
"Epomophorus gambianus",1,0.127954779033916,0.00537634408602151,0.100358422939068,50.5714285714286,0.108167260808249,1
"Myotis bocagii",0,0.115107913669065,0.0761648745519713,0.135304659498208,116,0.108859149239748,0
"Asellia tridens",0,0.257965056526208,0.0277777777777778,0.043010752688172,110,0.109584528997386,0
"Hipposideros armiger",1,0.119218910585817,0.0421146953405018,0.00806451612903226,43.3571428571429,0.110231365590629,1
"Glauconycteris variegata",0,0.091469681397739,0.104838709677419,0.137096774193548,119.666666666667,0.111135055089569,0
"Rhinolophus malayanus",0,0.0282631038026721,0.160394265232975,0.146057347670251,123.166666666667,0.111571572235299,0
"Rhinolophus paradoxolophus",0,0.0750256937307297,0.123655913978495,0.136200716845878,121,0.111627441518367,0
"Scotophilus viridis",0,0.0971223021582734,0.112007168458781,0.128136200716846,120.833333333333,0.112421890444634,0
"Murina tubinaris",0,0.0739979445015416,0.10752688172043,0.159498207885305,123.333333333333,0.113674344702425,0
"Harpiocephalus harpia",0,0.040082219938335,0.153225806451613,0.155017921146953,127.666666666667,0.116108649178967,0
"Eptesicus serotinus",1,0.0123329907502569,0.0232974910394265,0.0116487455197133,28.8571428571429,0.118498610481356,1
"Pipistrellus paterculus",0,0.0462487153134635,0.140681003584229,0.169354838709677,130.333333333333,0.118761519202457,0
"Hypsugo cadornae",0,NA,0.0985663082437276,0.145161290322581,136,0.121863799283154,0
"Murina huttoni",0,0.180883864337102,0.0743727598566308,0.111111111111111,127.666666666667,0.122122578434948,0
"Eptesicus bottae",0,0.0853031860226105,0.199820788530466,0.0842293906810036,133.333333333333,0.12311778841136,0
"Falsistrellus affinis",0,0.0868448098663926,0.122759856630824,0.162186379928315,134.166666666667,0.123930348808511,0
"Myotis bechsteinii",0,0.0698869475847893,0.219534050179211,0.0913978494623656,138.333333333333,0.126939615742122,0
