"Sp","Betacov","R.Alb","R.Dal1","R.Far1","R.Po2","R.Po3","Rank","PropRank","InSample"
"Camelus dromedarius",1,NA,0.250704225352113,0.0253521126760563,0.115384615384615,0.0175276752767528,59.25,0.102242157172384,1
"Equus caballus",1,NA,0.380281690140845,0.00563380281690141,0.0293040293040293,0.00553505535055351,71.25,0.105188644403082,1
"Canis lupus",1,0.220924690181125,0.263380281690141,0.00704225352112676,0.0293040293040293,0.00738007380073801,226.2,0.105606265699432,1
"Mus musculus",1,0.15467111534795,0.395774647887324,0.00845070422535211,0.0293040293040293,0.00922509225092251,189.8,0.119485117803116,1
"Myodes glareolus",1,0.338298379408961,0.3,0.0267605633802817,0.115384615384615,0.0175276752767528,338.5,0.159594246690122,1
"Bos taurus",1,NA,0.529577464788732,0.00140845070422535,0.115384615384615,0.0018450184501845,102.375,0.162053887331939,1
"Sus scrofa",1,0.149070543374643,0.633802816901408,0.0028169014084507,0.0293040293040293,0.003690036900369,217.5,0.16373686557778,1
"Ovis aries",0,NA,0.488732394366197,0.00422535211267606,0.115384615384615,0.0581180811808118,103.25,0.166615110761075,1
"Vulpes vulpes",0,0.153360343183985,0.076056338028169,0.142253521126761,0.115384615384615,0.346863468634686,203.6,0.166783657271643,1
"Rattus norvegicus",1,0.196258341277407,0.294366197183099,0.0169014084507042,0.313186813186813,0.014760147601476,227.6,0.1670945815399,1
"Capra hircus",0,NA,0.383098591549296,0.00985915492957747,0.115384615384615,0.20479704797048,105.375,0.178284852458492,1
"Bubalus bubalis",1,NA,0.391549295774648,0.0126760563380282,0.313186813186813,0.0119926199261993,94.75,0.182351196306422,1
"Apodemus agrarius",1,0.205552907530982,0.104929577464789,0.222535211267606,0.313186813186813,0.0802583025830258,244.8,0.185292562406643,1
"Procyon lotor",0,0.461987607244995,0.0985915492957746,0.0352112676056338,0.115384615384615,0.227859778597786,437.7,0.187806963625761,1
"Rattus rattus",0,0.101763584366063,0.322535211267606,0.0338028169014084,0.313186813186813,0.227859778597786,177.8,0.199829640863935,1
"Equus asinus",0,NA,0.295774647887324,0.0183098591549296,0.313186813186813,0.211254612546125,105.75,0.209631483193798,1
"Rangifer tarandus",0,0.454480457578646,0.249295774647887,0.0380281690140845,0.115384615384615,0.227859778597786,453.2,0.217009759044604,1
"Crocuta crocuta",0,0.281935176358437,0.123943661971831,0.109859154929577,0.313186813186813,0.283210332103321,317.6,0.222427027709996,1
"Didelphis marsupialis",0,NA,0.113380281690141,0.146478873239437,0.313186813186813,0.346863468634686,114.5,0.229977359187769,1
"Canis mesomelas",0,0.273236415633937,0.0915492957746479,0.129577464788732,0.313186813186813,0.346863468634686,315.4,0.230882691603763,1
"Tatera indica",0,0.316253574833174,0.309859154929577,0.0690140845070423,0.313186813186813,0.252767527675277,363.7,0.252216231026377,1
"Felis catus",0,NA,0.515492957746479,0.0112676056338028,0.313186813186813,0.207564575645756,143,0.261877988053213,1
"Microtus agrestis",0,0.29730695900858,0.412676056338028,0.0507042253521127,0.313186813186813,0.239852398523985,358.4,0.262745290481904,1
"Cavia porcellus",1,NA,0.712676056338028,0.0633802816901408,NA,0.0322878228782288,189.5,0.269448053635466,1
"Arvicanthis niloticus",0,0.267874165872259,0.290140845070423,0.145070422535211,0.313186813186813,0.346863468634686,341.3,0.272627143059879,1
"Canis latrans",0,0.488560533841754,0.101408450704225,0.12112676056338,0.313186813186813,0.346863468634686,496.3,0.274229205386172,1
"Macaca fascicularis",0,0.31780266920877,0.511267605633803,0.028169014084507,0.313186813186813,0.214944649446494,383.7,0.277074150312078,1
"Mephitis mephitis",0,0.550047664442326,0.0450704225352113,0.13943661971831,0.313186813186813,0.346863468634686,542.5,0.278920997703469,1
"Lama glama",1,NA,0.508450704225352,0.259154929577465,NA,0.0802583025830258,196.166666666667,0.282621312128614,1
"Syncerus caffer",0,0.285152526215443,0.598591549295775,0.0366197183098592,NA,0.227859778597786,442.75,0.287055893104716,1
"Urocyon cinereoargenteus",0,0.382983794089609,0.247887323943662,0.156338028169014,0.313186813186813,0.346863468634686,433.5,0.289451885604757,1
"Microtus arvalis",0,0.273236415633937,0.401408450704225,0.143661971830986,0.313186813186813,0.346863468634686,361.4,0.29567142399813,1
"Vulpes velox",0,0.542183031458532,0.315492957746479,0.0619718309859155,0.313186813186813,0.252767527675277,553.1,0.297120432210603,1
"Cervus elaphus",0,0.257030505243089,0.661971830985915,0.0450704225352113,NA,0.227859778597786,426,0.2979831343405,1
"Capreolus capreolus",0,0.252979027645377,0.650704225352113,0.0647887323943662,NA,0.252767527675277,426.625,0.305309878266783,1
"Sciurus carolinensis",0,0.88465204957102,0.291549295774648,0.023943661971831,0.115384615384615,0.214944649446494,816.8,0.306094854429722,1
"Sciurus niger",0,0.878693994280267,0.0232394366197183,0.174647887323944,0.115384615384615,0.346863468634686,809.4,0.307765880448646,1
"Sigmodon hispidus",0,0.629408960915157,0.245070422535211,0.0943661971830986,0.313186813186813,0.283210332103321,624.2,0.31304854518472,1
"Mus cervicolor",1,0.264656816015253,0.711267605633803,0.223943661971831,NA,0.0802583025830258,454.5,0.320031596550978,1
"Suncus murinus",0,0.224737845567207,0.0936619718309859,0.391549295774648,0.313186813186813,0.586715867158672,338.2,0.321970358703665,1
"Myodes rutilus",0,0.346639656816015,0.297887323943662,0.216901408450704,0.313186813186813,0.437269372693727,428.5,0.322376915018184,1
"Microtus oeconomus",0,0.322807435653003,0.297887323943662,0.254929577464789,0.313186813186813,0.437269372693727,413.9,0.325216104588399,1
"Dama dama",0,0.264656816015253,0.715492957746479,0.071830985915493,NA,0.252767527675277,451.625,0.326187071838125,1
"Didelphis virginiana",0,NA,0.304225352112676,0.271830985915493,0.313186813186813,0.437269372693727,182.875,0.331628130977177,1
"Lophuromys sikapusi",0,0.271091515729266,0.11830985915493,0.373239436619718,0.313186813186813,0.586715867158672,378,0.33250869836988,1
"Giraffa camelopardalis",0,0.300405147759771,0.652112676056338,0.0985915492957746,NA,0.283210332103321,486.75,0.333579926303801,1
"Panthera leo",0,0.301477597712107,0.714084507042254,0.0704225352112676,NA,0.252767527675277,489.75,0.334688041910226,1
"Tamias striatus",0,0.824714013346044,0.0429577464788732,0.26056338028169,0.115384615384615,0.437269372693727,788.9,0.33617782563699,1
"Erinaceus europaeus",1,0.292897998093422,0.543661971830986,0.390140845070423,NA,0.1190036900369,489.125,0.336426126257933,1
"Marmota monax",0,0.92278360343184,0.102816901408451,0.0957746478873239,0.313186813186813,0.283210332103321,850.4,0.34355445960355,1
"Proechimys semispinosus",0,0.776334604385129,0.113380281690141,0.170422535211268,0.313186813186813,0.346863468634686,746.5,0.344037540621607,1
"Paguma larvata",1,0.176358436606292,0.719718309859155,0.366197183098592,NA,0.1190036900369,393.875,0.345319404900235,1
"Lemniscomys striatus",0,0.265848427073403,0.257746478873239,0.319718309859155,0.313186813186813,0.586715867158672,385.8,0.348643179230257,1
"Sylvilagus audubonii",0,0.802430886558627,0.113380281690141,0.169014084507042,0.313186813186813,0.346863468634686,768.2,0.348975106915462,1
"Redunca arundinum",0,0.305648236415634,0.692957746478873,0.116901408450704,NA,0.283210332103321,502.75,0.349679430862133,1
"Lepus californicus",0,0.852359389895138,0.113380281690141,0.167605633802817,0.313186813186813,0.346863468634686,809.9,0.358679117441919,1
"Proechimys guyannensis",0,0.812559580552908,0.284507042253521,0.1,0.313186813186813,0.283210332103321,784.3,0.358692753619313,1
"Nyctereutes procyonoides",1,0.162535748331745,0.288732394366197,0.287323943661972,1,0.0802583025830258,281.5,0.363770077788588,1
"Odocoileus hemionus",0,0.573403241182078,0.587323943661972,0.0549295774647887,NA,0.239852398523985,748,0.363877290208206,1
"Microtus gregalis",0,0.32650142993327,0.257746478873239,0.359154929577465,0.313186813186813,0.586715867158672,442.3,0.368661103745892,1
"Rattus argentiventer",1,0.239513822688275,0.566197183098592,0.519718309859155,NA,0.174354243542435,467.625,0.374945889797114,1
"Hippotragus niger",0,0.318517635843661,0.654929577464789,0.183098591549296,NA,0.346863468634686,529.875,0.375852318373108,1
"Peromyscus gossypinus",0,0.790514775977121,0.108450704225352,0.230985915492958,0.313186813186813,0.437269372693727,776.1,0.376081516315194,1
"Cephalophus dorsalis",0,0.32650142993327,0.503521126760563,0.273239436619718,NA,0.437269372693727,539.625,0.38513284150182,1
"Bradypus tridactylus",0,0.83567683508103,0.108450704225352,0.235211267605634,0.313186813186813,0.437269372693727,814.6,0.385958998558511,1
"Papio ursinus",0,0.526334604385129,0.752112676056338,0.0422535211267606,NA,0.227859778597786,724,0.387140145041503,1
"Cephalophus leucogaster",0,0.372020972354623,0.503521126760563,0.240845070422535,NA,0.437269372693727,581.625,0.388414135557862,1
"Lepus americanus",0,0.849022878932317,0.108450704225352,0.264788732394366,0.313186813186813,0.437269372693727,830,0.394543700286515,1
"Rattus tanezumi",1,0.187559580552908,0.566197183098592,0.66056338028169,NA,0.174354243542435,438.125,0.397168596868906,1
"Atelerix albiventris",0,0.286939942802669,0.635211267605634,0.242253521126761,NA,0.437269372693727,516,0.400418526057198,1
"Chlorocebus aethiops",1,0.536820781696854,0.394366197183099,0.0492957746478873,1,0.0285977859778598,571.2,0.40181610790114,1
"Melogale moschata",1,0.224022878932316,0.273943661971831,0.408450704225352,1,0.1190036900369,352.4,0.40508418703328,1
"Rattus losea",1,0.22998093422307,0.566197183098592,0.653521126760563,NA,0.174354243542435,481.375,0.406013371906165,1
"Tragelaphus strepsiceros",0,0.328408007626311,0.390140845070423,0.0661971830985915,1,0.252767527675277,422.4,0.40750271269412,1
"Saimiri sciureus",0,0.686725452812202,0.646478873239437,0.0591549295774648,NA,0.252767527675277,879.875,0.411281695826095,1
"Mus bufo",1,0.367731172545281,0.566197183098592,0.553521126760563,NA,0.174354243542435,608.125,0.415450931486718,1
"Puma concolor",0,0.460319351763584,0.819718309859155,0.107042253521127,NA,0.283210332103321,685.75,0.417572561811797,1
"Macropus giganteus",0,NA,0.285915492957746,0.105633802816901,1,0.283210332103321,176.125,0.418689906969492,1
"Mastomys natalensis",0,0.265490943755958,0.292957746478873,0.197183098591549,1,0.346863468634686,384.6,0.420499051492213,1
"Odocoileus virginianus",0,0.369041944709247,0.5,0.0309859154929577,1,0.217712177121771,463.3,0.423548007464795,1
"Papio hamadryas",0,0.504051477597712,0.704225352112676,0.140845070422535,NA,0.346863468634686,725.75,0.423996342191902,1
"Oryx gazella",0,0.501429933269781,0.656338028169014,0.192957746478873,NA,0.346863468634686,723.75,0.424397294138089,1
"Papio cynocephalus",0,0.54706863679695,0.859154929577465,0.0535211267605634,NA,0.239852398523985,768.375,0.424899272914741,1
"Sylvicapra grimmia",0,0.295757864632984,0.71830985915493,0.250704225352113,NA,0.437269372693727,541.5,0.425510330458438,1
"Apodemus sylvaticus",0,0.243326978074357,0.663380281690141,0.0197183098591549,1,0.211254612546125,378.7,0.427536036433956,1
"Ceratotherium simum",0,0.302430886558627,0.697183098591549,0.27887323943662,NA,0.437269372693727,549.75,0.428939149320131,1
"Aepyceros melampus",0,0.338298379408961,0.541549295774648,0.0394366197183099,1,0.227859778597786,445.7,0.429428814699941,1
"Oryx leucoryx",0,0.689704480457579,0.653521126760563,0.104225352112676,NA,0.283210332103321,896.375,0.432665322858535,1
"Philantomba monticola",0,0.285152526215443,0.492253521126761,0.367605633802817,NA,0.586715867158672,531.25,0.432931887075923,1
"Lycaon pictus",0,0.275619637750238,0.253521126760563,0.208450704225352,1,0.437269372693727,398.9,0.434972168285976,1
"Bos grunniens",0,NA,0.787323943661972,0.171830985915493,NA,0.346863468634686,289.666666666667,0.435339466070717,1
"Pan troglodytes",1,0.50917540514776,0.642253521126761,0.0140845070422535,1,0.0119926199261993,576.4,0.435501210648595,1
"Connochaetes taurinus",0,0.367731172545281,0.541549295774648,0.0436619718309859,1,0.227859778597786,471,0.43616044374974,1
"Kobus ellipsiprymnus",0,0.273713060057197,0.63943661971831,0.0408450704225352,1,0.227859778597786,405.6,0.436370905759166,1
"Antidorcas marsupialis",0,0.459366062917064,0.790140845070422,0.159154929577465,NA,0.346863468634686,697.375,0.438881326549909,1
"Gorilla gorilla",0,0.571377502383222,0.86056338028169,0.0732394366197183,NA,0.252767527675277,799.375,0.439486961739977,1
"Felis silvestris",0,0.187559580552908,0.509859154929577,0.157746478873239,1,0.346863468634686,344.4,0.440405736598082,1
"Apodemus flavicollis",0,0.24034795042898,0.595774647887324,0.0845070422535211,1,0.283210332103321,383.6,0.440767994534629,1
"Hippotragus equinus",0,0.281935176358437,0.784507042253521,0.263380281690141,NA,0.437269372693727,541,0.441772968248956,1
"Sciurus vulgaris",0,0.362368922783603,0.869014084507042,0.194366197183099,NA,0.346863468634686,615.875,0.443153168277108,1
"Acinonyx jubatus",0,0.280505243088656,0.411267605633803,0.177464788732394,1,0.346863468634686,411.2,0.443220221217908,1
