"","tree","bats"
"1","Abditomys_latidens","other"
"2","Abeomelomys_sevia","other"
"3","Abrawayaomys_ruschii","other"
"4","Abrocoma_bennettii","other"
"5","Abrocoma_boliviensis","other"
"6","Abrocoma_budini","other"
"7","Abrocoma_cinerea","other"
"8","Abrocoma_famatina","other"
"9","Abrocoma_shistacea","other"
"10","Abrocoma_vaccarum","other"
"11","Abrothrix_andinus","other"
"12","Abrothrix_hershkovitzi","other"
"13","Abrothrix_illuteus","other"
"14","Abrothrix_jelskii","other"
"15","Abrothrix_lanosus","other"
"16","Abrothrix_longipilis","other"
"17","Abrothrix_markhami","other"
"18","Abrothrix_olivaceus","other"
"19","Abrothrix_sanborni","other"
"20","Acerodon_celebensis","bats"
"21","Acerodon_humilis","bats"
"22","Acerodon_jubatus","bats"
"23","Acerodon_leucotis","bats"
"24","Acerodon_mackloti","bats"
"25","Acinonyx_jubatus","other"
"26","Acomys_airensis","other"
"27","Acomys_cahirinus","other"
"28","Acomys_chudeaui","other"
"29","Acomys_cilicicus","other"
"30","Acomys_cineraceus","other"
"31","Acomys_dimidiatus","other"
"32","Acomys_ignitus","other"
"33","Acomys_johannis","other"
"34","Acomys_kempi","other"
"35","Acomys_louisae","other"
"36","Acomys_minous","other"
"37","Acomys_mullah","other"
"38","Acomys_nesiotes","other"
"39","Acomys_percivali","other"
"40","Acomys_russatus","other"
"41","Acomys_seurati","other"
"42","Acomys_spinosissimus","other"
"43","Acomys_subspinosus","other"
"44","Acomys_wilsoni","other"
"45","Aconaemys_fuscus","other"
"46","Aconaemys_porteri","other"
"47","Aconaemys_sagei","other"
"48","Acrobates_pygmaeus","other"
"49","Addax_nasomaculatus","other"
"50","Aepeomys_lugens","other"
"51","Aepyceros_melampus","other"
"52","Aepyprymnus_rufescens","other"
"53","Aeretes_melanopterus","other"
"54","Aeromys_tephromelas","other"
"55","Aeromys_thomasi","other"
"56","Aethalops_aequalis","bats"
"57","Aethalops_alecto","bats"
"58","Aethomys_bocagei","other"
"59","Aethomys_chrysophilus","other"
"60","Aethomys_hindei","other"
"61","Aethomys_ineptus","other"
"62","Aethomys_kaiseri","other"
"63","Aethomys_nyikae","other"
"64","Aethomys_silindensis","other"
"65","Aethomys_stannarius","other"
"66","Aethomys_thomasi","other"
"67","Ailuropoda_melanoleuca","other"
"68","Ailurops_melanotis","other"
"69","Ailurops_ursinus","other"
"70","Ailurus_fulgens","other"
"71","Akodon_aerosus","other"
"72","Akodon_affinis","other"
"73","Akodon_albiventer","other"
"74","Akodon_azarae","other"
"75","Akodon_bogotensis","other"
"76","Akodon_boliviensis","other"
"77","Akodon_budini","other"
"78","Akodon_cursor","other"
"79","Akodon_dayi","other"
"80","Akodon_dolores","other"
"81","Akodon_fumeus","other"
"82","Akodon_iniscatus","other"
"83","Akodon_juninensis","other"
"84","Akodon_kofordi","other"
"85","Akodon_latebricola","other"
"86","Akodon_lindberghi","other"
"87","Akodon_lutescens","other"
"88","Akodon_mimus","other"
"89","Akodon_molinae","other"
"90","Akodon_mollis","other"
"91","Akodon_montensis","other"
"92","Akodon_neocenus","other"
"93","Akodon_orophilus","other"
"94","Akodon_pervalens","other"
"95","Akodon_sanctipaulensis","other"
"96","Akodon_serrensis","other"
"97","Akodon_siberiae","other"
"98","Akodon_simulator","other"
"99","Akodon_spegazzinii","other"
"100","Akodon_subfuscus","other"
"101","Akodon_surdus","other"
"102","Akodon_sylvanus","other"
"103","Akodon_toba","other"
"104","Akodon_torques","other"
"105","Akodon_varius","other"
"106","Alcelaphus_buselaphus","other"
"107","Alcelaphus_caama","other"
"108","Alcelaphus_lichtensteinii","other"
"109","Alces_alces","other"
"110","Alces_americanus","other"
"111","Alionycteris_paucidentata","bats"
"112","Allactaga_balikunica","other"
"113","Allactaga_bullata","other"
"114","Allactaga_elater","other"
"115","Allactaga_euphratica","other"
"116","Allactaga_firouzi","other"
"117","Allactaga_hotsoni","other"
"118","Allactaga_major","other"
"119","Allactaga_severtzovi","other"
"120","Allactaga_sibirica","other"
"121","Allactaga_tetradactyla","other"
"122","Allactaga_vinogradovi","other"
"123","Allactaga_williamsi","other"
"124","Allactodipus_bobrinskii","other"
"125","Allenopithecus_nigroviridis","other"
"126","Allocebus_trichotis","other"
"127","Allocricetulus_curtatus","other"
"128","Allocricetulus_eversmanni","other"
"129","Alouatta_belzebul","other"
"130","Alouatta_caraya","other"
"131","Alouatta_coibensis","other"
"132","Alouatta_guariba","other"
"133","Alouatta_macconnelli","other"
"134","Alouatta_nigerrima","other"
"135","Alouatta_palliata","other"
"136","Alouatta_pigra","other"
"137","Alouatta_sara","other"
"138","Alouatta_seniculus","other"
"139","Alticola_albicaudus","other"
"140","Alticola_argentatus","other"
"141","Alticola_barakshin","other"
"142","Alticola_lemminus","other"
"143","Alticola_macrotis","other"
"144","Alticola_montosa","other"
"145","Alticola_olchonensis","other"
"146","Alticola_roylei","other"
"147","Alticola_semicanus","other"
"148","Alticola_stoliczkanus","other"
"149","Alticola_strelzowi","other"
"150","Alticola_tuvinicus","other"
"151","Amblysomus_corriae","other"
"152","Amblysomus_hottentotus","other"
"153","Amblysomus_marleyi","other"
