"","host","virus","presence","suitability"
"147","Eonycteris spelaea","Betacoronavirus",1,8.6080723369812e+30
"164","Micropteropus pusillus","Betacoronavirus",1,2.93656923624173e+30
"870","Desmodus rotundus","Betacoronavirus",0,6.14630338498331e+28
"979","Phyllostomus hastatus","Betacoronavirus",0,2.46181332814407e+28
"1021","Uroderma bilobatum","Betacoronavirus",0,2.60212918723161e+25
"146","Eidolon helvum","Betacoronavirus",1,6.06842606492259e+24
"978","Phyllostomus discolor","Betacoronavirus",0,68354040571298976
"904","Hypsignathus monstrosus","Betacoronavirus",0,4492678351936110
"932","Molossus rufus","Betacoronavirus",0,2215967817931.08
"993","Pteropus poliocephalus","Betacoronavirus",0,553741617500.625
"931","Molossus molossus","Betacoronavirus",0,211726299359.319
"197","Rousettus aegyptiacus","Betacoronavirus",1,57002930814.7518
"198","Rousettus amplexicaudatus","Betacoronavirus",1,52692410487.4464
"138","Carollia perspicillata","Betacoronavirus",1,19122030188.5019
"181","Pteronotus davyi","Betacoronavirus",1,13418984099.8755
"150","Epomops franqueti","Betacoronavirus",1,9024637943.00273
"182","Pteronotus parnellii","Betacoronavirus",1,2946970787.59563
"165","Miniopterus schreibersii","Betacoronavirus",1,462514574.830205
"1016","Tadarida brasiliensis","Betacoronavirus",0,3301640.38869293
"140","Cynopterus brachyotis","Betacoronavirus",1,2747031.90176991
"134","Artibeus lituratus","Betacoronavirus",1,2484759.67957184
"142","Cynopterus sphinx","Betacoronavirus",1,1316664.87667474
"853","Anoura geoffroyi","Betacoronavirus",0,1103743.25145779
"863","Chaerephon pumilus","Betacoronavirus",0,326785.538798783
"861","Carollia brevicauda","Betacoronavirus",0,297326.524243027
"145","Eidolon dupreanum","Betacoronavirus",1,76455.5376623776
"876","Epomops dobsonii","Betacoronavirus",0,20075.6897117021
"857","Artibeus jamaicensis","Betacoronavirus",0,8564.61096215346
"1008","Scotophilus kuhlii","Betacoronavirus",0,5253.27295075907
"995","Pteropus vampyrus","Betacoronavirus",0,2280.15416642439
"946","Myotis grisescens","Betacoronavirus",0,1323.36855538641
"890","Glossophaga soricina","Betacoronavirus",0,1269.86210742238
"136","Artibeus phaeotis","Betacoronavirus",1,726.433338893566
"862","Carollia subrufa","Betacoronavirus",0,475.326947248244
"148","Epomophorus gambianus","Betacoronavirus",1,428.380290370347
"992","Pteropus neohibernicus","Betacoronavirus",0,396.215681855781
"139","Chaerephon plicatus","Betacoronavirus",1,369.425479406821
"184","Pteropus giganteus","Betacoronavirus",1,326.063230982173
