"","host_species","betacov","pred"
"1","Eidolon helvum",1,0.591514279438127
"2","Epomophorus gambianus",1,0.437989533491346
"3","Epomops franqueti",1,0.345102284906458
"4","Hypsignathus monstrosus",0,0.335666014109318
"5","Micropteropus pusillus",1,0.425690384758875
"6","Miniopterus inflatus",0,0.166266057406743
"7","Miniopterus schreibersii",1,0.39312793636262
"8","Mops condylurus",1,0.318683918844798
"9","Myonycteris torquata",0,0.33944339709645
"10","Rhinolophus eloquens",0,0.124929661900606
"11","Rousettus aegyptiacus",1,0.599748771740395
"12","Rousettus amplexicaudatus",1,0.298850183753006
"13","Cynopterus brachyotis",1,0.447220033377187
"14","Cynopterus sphinx",1,0.596829810869667
"15","Emballonura alecto",0,0.177941442559873
"16","Eonycteris spelaea",1,0.436724671010685
"17","Epomops buettikoferi",0,0.179766050052959
"18","Haplonycteris fischeri",0,0.242822112553645
"19","Hipposideros armiger",1,0.392313784690591
"20","Hipposideros caffer",1,0.410278207715404
"21","Hipposideros cineraceus",0,0.25014332461375
"22","Hipposideros commersoni",1,0.34749371077187
"23","Hipposideros diadema",0,0.15841139443579
"24","Hipposideros larvatus",0,0.279871112129472
"25","Hipposideros pomona",0,0.291123956303282
"26","Lissonycteris angolensis",0,0.361195034239435
"27","Macroglossus minimus",0,0.191341513920409
"28","Miniopterus australis",0,0.0716014500833908
"29","Miniopterus pusillus",0,0.195089025917774
"30","Miniopterus tristis",0,0.0998234438827744
"31","Myotis chinensis",0,0.327608777124797
"32","Myotis daubentonii",1,0.344816367645586
"33","Myotis davidii",0,0.0151891662520902
"34","Myotis fimbriatus",0,0.154284934636079
"35","Nanonycteris veldkampii",0,0.195052843688974
"36","Nycteris hispida",0,0.229312778626538
"37","Pipistrellus javanicus",0,0.297708543029369
"38","Pipistrellus pipistrellus",1,0.346394194948495
"39","Ptenochirus jagori",1,0.259017445026146
"40","Rhinolophus affinis",1,0.373263305566184
"41","Rhinolophus arcuatus",0,0.104040824336998
"42","Rhinolophus ferrumequinum",1,0.409888387906847
"43","Rhinolophus pearsonii",1,0.392952618351646
"44","Rhinolophus pusillus",1,0.243660425032769
"45","Rhinolophus rufus",0,0.0571335426991151
"46","Rhinolophus sinicus",1,0.249305492409244
"47","Rousettus leschenaultii",1,0.585640207432003
"48","Scotophilus kuhlii",0,0.0299354143020611
"49","Myotis ricketti",1,0.268746131390542
"50","Acerodon celebensis",0,0.12708687247082
"51","Acerodon humilis",0,0.0452379607211225
"52","Acerodon jubatus",0,0.15288602382865
"53","Acerodon leucotis",0,0.0936767412158997
"54","Acerodon mackloti",0,0.097527916736161
"55","Aethalops aequalis",0,0.0603771923323915
"56","Aethalops alecto",0,0.151502592804555
"57","Alionycteris paucidentata",0,0.111210191949097
"58","Ametrida centurio",0,0.0509088700550374
"59","Amorphochilus schnablii",0,0.00830360588713105
"60","Anoura caudifer",0,0.0312464126082096
"61","Anoura cultrata",0,0.0189709922114153
"62","Anoura geoffroyi",0,0.0711041712631402
"63","Anoura latidens",0,0.0195383968616379
"64","Anoura luismanueli",0,0.00677496742653604
"65","Anthops ornatus",0,0.00938180983689839
"66","Antrozous pallidus",0,0.00827486171700942
"67","Aproteles bulmerae",0,0.0504981728022033
"68","Ardops nichollsi",0,0.0193062441259141
"69","Arielulus aureocollaris",0,0.0864653175122346
"70","Arielulus circumdatus",0,0.244453365976358
"71","Arielulus cuprosus",0,0.0167127462307458
"72","Arielulus societatis",0,0.0267641438370225
"73","Arielulus torquatus",0,0.0882115160670612
"74","Ariteus flavescens",0,0.0107709783214259
"75","Artibeus amplus",0,0.0432010770191457
"76","Artibeus anderseni",0,0.0177912549322716
"77","Artibeus aztecus",0,0.102004931098851
"78","Artibeus cinereus",0,0.0552534741949271
"79","Artibeus concolor",0,0.0576195668844225
"80","Artibeus fimbriatus",0,0.0566362118006133
"81","Artibeus fraterculus",0,0.0384692652529436
"82","Artibeus glaucus",0,0.088735132732181
"83","Artibeus gnomus",0,0.0874087673531415
"84","Artibeus hirsutus",0,0.0930108533804374
"85","Artibeus incomitatus",0,0.00327491101207446
"86","Artibeus inopinatus",0,0.0507712778558185
"87","Artibeus jamaicensis",0,0.184984819452022
"88","Artibeus lituratus",1,0.179708821722121
"89","Artibeus obscurus",1,0.0830650354054296
"90","Artibeus phaeotis",1,0.103888134712508
"91","Artibeus toltecus",0,0.106244076553736
"92","Artibeus watsoni",0,0.0475060648133232
"93","Asellia patrizii",0,0.0896537814349778
"94","Asellia tridens",0,0.33686977240839
"95","Aselliscus stoliczkanus",1,0.277220838366677
"96","Aselliscus tricuspidatus",0,0.0185097856907593
"97","Balantiopteryx infusca",0,0.00671092149086886
"98","Balantiopteryx io",0,0.0121990082265559
"99","Balantiopteryx plicata",0,0.0323520302195606
"100","Balionycteris maculata",0,0.193884491339918
"101","Barbastella barbastellus",0,0.302858526030099
"102","Barbastella leucomelas",0,0.313383670035092
"103","Bauerus dubiaquercus",0,0.0129896677946068
"104","Brachyphylla cavernarum",0,0.0514162513383503
"105","Brachyphylla nana",0,0.0679073553407865
"106","Cardioderma cor",0,0.0762550343373017
"107","Carollia brevicauda",0,0.135860339753654
"108","Carollia castanea",0,0.0646379620590612
"109","Carollia colombiana",0,0.0143983909582074
"110","Carollia perspicillata",1,0.134573101822183
"111","Carollia sowelli",0,0.0452700230486528
"112","Carollia subrufa",0,0.0554734378332857
"113","Casinycteris argynnis",0,0.162711890346674
"114","Centronycteris centralis",0,0.0111498892021444
"115","Centronycteris maximiliani",0,0.0214067413351813
"116","Centurio senex",0,0.128088237953327
"117","Chaerephon aloysiisabaudiae",0,0.0616237070145584
"118","Chaerephon ansorgei",0,0.112850327643672
"119","Chaerephon bemmeleni",0,0.118520126263372
"120","Chaerephon bivittatus",0,0.235933985402139
"121","Chaerephon bregullae",0,0.00587559568085294
"122","Chaerephon chapini",0,0.0534184687906111
"123","Chaerephon gallagheri",0,0.0140773787764164
"124","Chaerephon jobensis",0,0.090924401204545
"125","Chaerephon johorensis",0,0.0411213049713944
"126","Chaerephon leucogaster",0,0.164003603937094
"127","Chaerephon major",0,0.214167905237071
"128","Chaerephon nigeriae",0,0.211985405439968
"129","Chaerephon plicatus",1,0.324842575617439
"130","Chaerephon pumilus",0,0.255372594708829
"131","Chaerephon russatus",0,0.113044191738775
"132","Chaerephon shortridgei",0,0.0419658435114083
"133","Chaerephon solomonis",0,0.00612265005689452
"134","Chaerephon tomensis",0,0.00596061296811435
"135","Chalinolobus dwyeri",0,0.0385775687218108
"136","Chalinolobus gouldii",0,0.0600355479472301
"137","Chalinolobus morio",0,0.056322479310011
"138","Chalinolobus neocaledonicus",0,0.00750772801549138
"139","Chalinolobus nigrogriseus",0,0.0501438970636774
"140","Chalinolobus picatus",0,0.0331841911753907
"141","Chalinolobus tuberculatus",0,0.0231718102945524
"142","Cheiromeles parvidens",0,0.0471045012513295
"143","Cheiromeles torquatus",0,0.11217250224859
"144","Chilonatalus micropus",0,0.0119247055517154
"145","Chilonatalus tumidifrons",0,0.00185449746791352
"146","Chiroderma doriae",0,0.0662459585539387
"147","Chiroderma improvisum",0,0.0156176437544538
"148","Chiroderma salvini",0,0.146578834917802
"149","Chiroderma trinitatum",0,0.0535586049465727
"150","Chiroderma villosum",0,0.110017006864301
"151","Chironax melanocephalus",0,0.194337932638742
"152","Choeroniscus godmani",0,0.041555473739885
"153","Choeroniscus minor",0,0.0153081269899366
"154","Choeroniscus periosus",0,0.00461170092688997
"155","Choeronycteris mexicana",0,0.0562716237547466
"156","Chrotopterus auritus",0,0.0138208899272551
"157","Cistugo lesueuri",0,0.0266670328989488
"158","Cistugo seabrae",0,0.0270642700396374
"159","Cloeotis percivali",0,0.076944622753631
"160","Coelops frithii",0,0.107769900376647
"161","Coelops robinsoni",0,0.0129938634758712
"162","Coleura afra",0,0.307551333253389
"163","Coleura seychellensis",0,0.0134309857775529
"164","Cormura brevirostris",0,0.0191085659493373
"165","Corynorhinus mexicanus",0,0.00390030373832911
"166","Corynorhinus rafinesquii",0,0.00843744452822891
