"","host_species","betacov","pred"
"1","Eidolon helvum",1,0.482860127369703
"2","Epomophorus gambianus",1,0.434636380730328
"3","Epomops franqueti",1,0.339780093489772
"4","Hypsignathus monstrosus",0,0.355330042774099
"5","Micropteropus pusillus",1,0.393551153624399
"6","Miniopterus inflatus",0,0.167175467350472
"7","Miniopterus schreibersii",1,0.364008599116936
"8","Mops condylurus",1,0.325777267511995
"9","Myonycteris torquata",0,0.352154606819337
"10","Rhinolophus eloquens",0,0.109245726899578
"11","Rousettus aegyptiacus",1,0.526163931130359
"12","Rousettus amplexicaudatus",1,0.305453041463309
"13","Cynopterus brachyotis",1,0.392153219165135
"14","Cynopterus sphinx",1,0.457820925788945
"15","Emballonura alecto",0,0.166893228588333
"16","Eonycteris spelaea",1,0.373476061675537
"17","Epomops buettikoferi",0,0.29488859159114
"18","Haplonycteris fischeri",0,0.226747241888033
"19","Hipposideros armiger",1,0.316072146154004
"20","Hipposideros caffer",1,0.392350776638448
"21","Hipposideros cineraceus",0,0.248462710240377
"22","Hipposideros commersoni",1,0.337982461370928
"23","Hipposideros diadema",0,0.167760782258375
"24","Hipposideros larvatus",0,0.239900887200605
"25","Hipposideros pomona",0,0.280900862402002
"26","Lissonycteris angolensis",0,0.378493230369278
"27","Macroglossus minimus",0,0.240701173376598
"28","Miniopterus australis",0,0.0224355444587437
"29","Miniopterus pusillus",0,0.243157751608999
"30","Miniopterus tristis",0,0.116714805035983
"31","Myotis chinensis",0,0.286512861480908
"32","Myotis daubentonii",1,0.315585668810419
"33","Myotis davidii",0,0.0148223295795446
"34","Myotis fimbriatus",0,0.172610875036648
"35","Nanonycteris veldkampii",0,0.292766216431799
"36","Nycteris hispida",0,0.23452862785534
"37","Pipistrellus javanicus",0,0.272472442838436
"38","Pipistrellus pipistrellus",1,0.318960688593588
"39","Ptenochirus jagori",1,0.227228970929963
"40","Rhinolophus affinis",1,0.304102188822807
"41","Rhinolophus arcuatus",0,0.158622464420027
"42","Rhinolophus ferrumequinum",1,0.348983991356754
"43","Rhinolophus pearsonii",1,0.315023179921979
"44","Rhinolophus pusillus",1,0.279028599050271
"45","Rhinolophus rufus",0,0.0859571910458802
"46","Rhinolophus sinicus",1,0.217908630032173
"47","Rousettus leschenaultii",1,0.456310364250336
"48","Scotophilus kuhlii",0,0.0212066597654425
"49","Myotis ricketti",1,0.262450012109383
"50","Acerodon celebensis",0,0.130180741198935
"51","Acerodon humilis",0,0.0599665687107696
"52","Acerodon jubatus",0,0.170285093649798
"53","Acerodon leucotis",0,0.129727206213256
"54","Acerodon mackloti",0,0.120759786764836
"55","Aethalops aequalis",0,0.112569170052867
"56","Aethalops alecto",0,0.194465649568748
"57","Alionycteris paucidentata",0,0.127680995615924
"58","Ametrida centurio",0,0.0541823113214045
"59","Amorphochilus schnablii",0,0.0124769750289876
"60","Anoura caudifer",0,0.0226996673957984
"61","Anoura cultrata",0,0.0154758916712926
