"","host","virus","presence","suitability"
"182","Pteronotus parnellii","Betacoronavirus",1,5.39685419496537e+301
"2629","Carollia brevicauda","Betacoronavirus",0,1.1949118302351e+293
"174","Pipistrellus abramus","Betacoronavirus",1,2.07625674349416e+292
"196","Rhinopoma hardwickii","Betacoronavirus",1,8.81966079065445e+275
"163","Megaloglossus woermanni","Betacoronavirus",1,7.49918824526641e+275
"153","Eumops glaucinus","Betacoronavirus",1,6.6499870374483e+275
"3332","Plecotus auritus","Betacoronavirus",0,1.36707260069968e+275
"144","Dyacopterus spadiceus","Betacoronavirus",1,4.57442207420137e+224
"3299","Pipistrellus coromandra","Betacoronavirus",0,3.74518915626385e+224
"2628","Cardioderma cor","Betacoronavirus",0,1.01392005671402e+224
"2738","Epomophorus wahlbergi","Betacoronavirus",0,3.99773612586614e+223
"3302","Pipistrellus hesperus","Betacoronavirus",0,3.47080053875384e+223
"3601","Vampyrodes caraccioli","Betacoronavirus",0,1.5389667758292e+223
"2956","Lonchophylla robusta","Betacoronavirus",0,5.69687994495867e+222
"2996","Mimon crenulatum","Betacoronavirus",0,2.03195206750981e+220
"2744","Eptesicus brasiliensis","Betacoronavirus",0,9.88721732041452e+219
"2740","Epomops dobsonii","Betacoronavirus",0,2.2110628294519e+219
"146","Eidolon helvum","Betacoronavirus",1,5.99560162615713e+198
"134","Artibeus lituratus","Betacoronavirus",1,1.54504399671624e+196
"145","Eidolon dupreanum","Betacoronavirus",1,1.60397830777585e+193
"3352","Pteronotus quadridens","Betacoronavirus",0,4.49975837652536e+187
"3593","Uroderma bilobatum","Betacoronavirus",0,3.76814577844872e+180
"3594","Uroderma magnirostrum","Betacoronavirus",0,3.60960787443744e+180
"152","Eptesicus serotinus","Betacoronavirus",1,3.07382867828704e+178
"204","Vespertilio sinensis","Betacoronavirus",1,3.18358447560202e+173
"3612","Vespertilio murinus","Betacoronavirus",0,6.16609415918206e+171
"3405","Pteropus temminckii","Betacoronavirus",0,1.89981332753854e+171
"3101","Myotis californicus","Betacoronavirus",0,2.25595386097486e+156
"3102","Myotis capaccinii","Betacoronavirus",0,9.99149747616361e+155
"203","Tylonycteris pachypus","Betacoronavirus",1,1.09560063615075e+155
"3592","Tylonycteris robustula","Betacoronavirus",0,1.07837956639144e+155
"3291","Phyllostomus elongatus","Betacoronavirus",0,3.23974393485766e+132
"3293","Phyllostomus latifolius","Betacoronavirus",0,8.78101615912156e+131
"3292","Phyllostomus hastatus","Betacoronavirus",0,5.16858143918865e+131
"3290","Phyllostomus discolor","Betacoronavirus",0,5.11971524730265e+131
"3030","Mops brachypterus","Betacoronavirus",0,2.03101291353784e+131
"150","Epomops franqueti","Betacoronavirus",1,5.01392859064165e+127
"176","Pipistrellus kuhlii","Betacoronavirus",1,1.31794042703154e+123
"2741","Eptesicus andinus","Betacoronavirus",0,2.96832887682509e+122
"138","Carollia perspicillata","Betacoronavirus",1,1.85447986826106e+122
"2631","Carollia colombiana","Betacoronavirus",0,1.75507119423131e+122
"2632","Carollia sowelli","Betacoronavirus",0,9.5493670450107e+121
"183","Pteropus alecto","Betacoronavirus",1,5.56643823286136e+121
"2743","Eptesicus bottae","Betacoronavirus",0,3.91164546833375e+121
"3191","Neoromicia brunneus","Betacoronavirus",0,1.41294549699215e+121
"2742","Eptesicus bobrinskoi","Betacoronavirus",0,9.05743019641459e+120
"155","Hipposideros caffer","Betacoronavirus",1,2.68161515808434e+120
"3104","Myotis chinensis","Betacoronavirus",0,1.05685003057038e+120
"3303","Pipistrellus inexspectatus","Betacoronavirus",0,2.769714791978e+119
"3304","Pipistrellus javanicus","Betacoronavirus",0,2.63435483351446e+119
"2633","Carollia subrufa","Betacoronavirus",0,9.07613702661051e+118
"147","Eonycteris spelaea","Betacoronavirus",1,3.96629919979098e+118
"164","Micropteropus pusillus","Betacoronavirus",1,2.99724612613043e+118
"2816","Hipposideros bicolor","Betacoronavirus",0,4.53117874789609e+116
"3305","Pipistrellus maderensis","Betacoronavirus",0,3.07876714426288e+116
"2817","Hipposideros breviceps","Betacoronavirus",0,1.2255583484111e+116
"3353","Pteropus admiralitatum","Betacoronavirus",0,1.22198963765569e+116
"3003","Miniopterus inflatus","Betacoronavirus",0,2.00720790081868e+114
"2634","Casinycteris argynnis","Betacoronavirus",0,1.34407325899997e+114
"3355","Pteropus anetianus","Betacoronavirus",0,6.66841243057042e+113
"3024","Molossus molossus","Betacoronavirus",0,4.16493065360865e+113
"3354","Pteropus aldabrensis","Betacoronavirus",0,2.84739170910462e+113
"2818","Hipposideros calcaratus","Betacoronavirus",0,7.35491953191609e+112
"2846","Hipposideros larvatus","Betacoronavirus",0,6.68429882715906e+111
"2733","Epomophorus angolensis","Betacoronavirus",0,5.91034036874589e+111
"2994","Mimon bennettii","Betacoronavirus",0,2.56386614658346e+110
"3356","Pteropus aruensis","Betacoronavirus",0,1.23110550602337e+110
"3023","Molossus currentium","Betacoronavirus",0,2.959347218461e+109
"148","Epomophorus gambianus","Betacoronavirus",1,1.50837547246771e+109
"2735","Epomophorus grandis","Betacoronavirus",0,1.25917765803082e+109
"2815","Hipposideros beatus","Betacoronavirus",0,9.79394388355376e+108
"3025","Molossus pretiosus","Betacoronavirus",0,8.52470205172881e+108
"2731","Eonycteris major","Betacoronavirus",0,7.96705360432137e+108
"2734","Epomophorus crypturus","Betacoronavirus",0,7.52222361031923e+108
