Host,p.interaction
Rousettus_aegyptiacus,0.590804311
Rousettus_leschenaultii,0.581504107
Artibeus_lituratus,0.554833105
Eidolon_helvum,0.524559639
Rhinolophus_ferrumequinum,0.503179945
Artibeus_jamaicensis,0.488429739
Carollia_perspicillata,0.479612881
Sturnira_lilium,0.477051618
Cynopterus_sphinx,0.453353535
Scotophilus_kuhlii,0.447925449
Eonycteris_spelaea,0.445518552
Desmodus_rotundus,0.438351249
Pteropus_alecto,0.428130103
Micropteropus_pusillus,0.419889661
Phyllostomus_hastatus,0.417724601
Pipistrellus_pipistrellus,0.403540072
Eptesicus_serotinus,0.396403641
Miniopterus_schreibersii,0.393702506
Cynopterus_brachyotis,0.393115729
Glossophaga_soricina,0.392057817
Molossus_rufus,0.390994352
Artibeus_phaeotis,0.383587714
Epomops_franqueti,0.379226045
Mops_condylurus,0.377908467
Epomophorus_gambianus,0.370900549
Uroderma_bilobatum,0.355982897
Eptesicus_fuscus,0.350706318
Myotis_nigricans,0.347130387
Myotis_lucifugus,0.346805568
Pteropus_giganteus,0.345316772
Myotis_daubentonii,0.344103901
Tadarida_brasiliensis,0.342086571
Rhinolophus_pusillus,0.339808385
Myotis_septentrionalis,0.336897277
Pteropus_poliocephalus,0.336566475
Pteropus_scapulatus,0.335757434
Hipposideros_armiger,0.335218868
Pteronotus_parnellii,0.334484401
Hipposideros_caffer,0.333229042
Rhinolophus_affinis,0.328850525
Nyctalus_noctula,0.32750656
Rhinolophus_sinicus,0.324595501
Rousettus_amplexicaudatus,0.299288552
Murina_leucogaster,0.287790882
Myotis_blythii,0.285544103
Pipistrellus_abramus,0.284437275
Pteropus_conspicillatus,0.283954008
Nycteris_gambiensis,0.283276618
Pipistrellus_kuhlii,0.282472862
Hypsignathus_monstrosus,0.281939484
Pteronotus_davyi,0.281806911
Chaerephon_pumilus,0.279626733
Pteropus_hypomelanus,0.278698761
Myotis_ricketti,0.278463188
Myotis_keenii,0.277410251
Hipposideros_pomona,0.277035034
Rhinolophus_euryale,0.276917673
Molossus_molossus,0.276834521
Chaerephon_plicatus,0.275386534
Taphozous_melanopogon,0.27471626
Platyrrhinus_helleri,0.271532688
Taphozous_perforatus,0.271119103
Pteropus_rufus,0.269978457
Rhinolophus_rex,0.259507702
Rhinolophus_clivosus,0.257673769
Rhinolophus_eloquens,0.256909147
Epomophorus_labiatus,0.226865832
Eidolon_dupreanum,0.226717909
Myotis_riparius,0.224523154
Myotis_emarginatus,0.22429457
Myotis_velifer,0.223654697
Pipistrellus_subflavus,0.2232886
Myotis_myotis,0.223186777
Myotis_nattereri,0.222964247
Myotis_volans,0.222751043
Pteropus_lylei,0.221774064
Cynomops_abrasus,0.220700125
Pipistrellus_nathusii,0.220631343
Megaloglossus_woermanni,0.219866254
Cynomops_planirostris,0.219712477
Scotophilus_leucogaster,0.219584785
Plecotus_auritus,0.218940675
Myotis_mystacinus,0.218903685
Hipposideros_bicolor,0.218804784
Myotis_dasycneme,0.21863695
Artibeus_cinereus,0.218571828
Scotophilus_dinganii,0.218534293
Neoromicia_capensis,0.217429055
Myotis_yumanensis,0.217396437
Vespertilio_murinus,0.217138867
Lasiurus_cinereus,0.21700225
Eumops_glaucinus,0.216958193
Triaenops_persicus,0.216776056
Hipposideros_pratti,0.216312427
Nyctinomops_laticaudatus,0.216132507
Barbastella_barbastellus,0.216041148
Mormoops_megalophylla,0.215993421
Hipposideros_ruber,0.215821234
Hypsugo_savii,0.215793239
Hipposideros_larvatus,0.215788211
Rhinopoma_hardwickii,0.215343285
Hipposideros_diadema,0.214578841
Pteropus_vampyrus,0.214549892
Miniopterus_inflatus,0.213439999
Dobsonia_moluccensis,0.212833104
Vespertilio_sinensis,0.212782475
Artibeus_toltecus,0.212078955
Carollia_brevicauda,0.21195851
Phyllostomus_discolor,0.211506384
Hipposideros_abae,0.211337078
Natalus_tumidirostris,0.209474296
Anoura_geoffroyi,0.209049227
Rhinolophus_rouxii,0.187260715
Rhinolophus_mehelyi,0.186280311
Rhinolophus_stheno,0.180194897
Rhinolophus_coelophyllus,0.179946448
Rhinolophus_capensis,0.178443675
Rhinolophus_megaphyllus,0.177604152
Rhinolophus_shameli,0.17751959
Rhinolophus_simulator,0.177493538
Rhinolophus_hipposideros,0.17397551
Rhinolophus_pearsonii,0.172733806
Rhinolophus_creaghi,0.172298535
Rhinolophus_thomasi,0.171320678
Rhinolophus_hildebrandtii,0.170893208
Rhinolophus_macrotis,0.170629212
Rhinolophus_blasii,0.170537736
Epomophorus_wahlbergi,0.162977859
Rousettus_madagascariensis,0.1617233
Myotis_chiloensis,0.157956918
Epomops_dobsonii,0.15780965
Nyctalus_plancyi,0.156689024
Neoromicia_nanus,0.15516007
Saccolaimus_saccolaimus,0.154511578
Myonycteris_torquata,0.153557648
Eptesicus_nilssonii,0.152224542
Rhinolophus_lepidus,0.152220894
Scotophilus_nux,0.151186273
Pipistrellus_ceylonicus,0.150577429
Syconycteris_australis,0.150404471
Artibeus_fimbriatus,0.149514355
Eptesicus_brasiliensis,0.149462087
Myotis_longipes,0.149101677
Dobsonia_anderseni,0.148953256
Myotis_levis,0.148800588
Myotis_leibii,0.14860536
Lasiurus_intermedius,0.148588414
Corynorhinus_townsendii,0.148535917
Myotis_albescens,0.148516987
Myotis_evotis,0.148441815
Myotis_thysanodes,0.148439672
Lasiurus_seminolus,0.148259989
Nyctinomops_macrotis,0.148194063
Pipistrellus_inexspectatus,0.148145734
Nycticeius_humeralis,0.147904369
Pipistrellus_coromandra,0.147886398
Antrozous_pallidus,0.147611829
Eptesicus_furinalis,0.147603211
Myotis_capaccinii,0.147594766
Myotis_grisescens,0.147576488
Chalinolobus_morio,0.147504651
Falsistrellus_mackenziei,0.147461058
Myotis_macropus,0.147455164
Chalinolobus_gouldii,0.147436863
Myotis_punicus,0.147402543
Myotis_austroriparius,0.147389914
Lasiurus_xanthinus,0.147381506
Tylonycteris_robustula,0.147377544
Pipistrellus_hesperidus,0.147081807
Eptesicus_diminutus,0.147073921
Philetor_brachypterus,0.147060092
Cynopterus_horsfieldii,0.147038786
Dyacopterus_spadiceus,0.146980232
Nyctalus_lasiopterus,0.146977278
Myotis_californicus,0.146707049
Eumops_auripendulus,0.146610848
Histiotus_velatus,0.14658706
Myotis_horsfieldii,0.146575437
Hipposideros_gigas,0.146462938
Lasiurus_egregius,0.146443865
Scotophilus_nigrita,0.14639823
Lasiurus_blossevillii,0.146361995
Chrotopterus_auritus,0.146327862
Lasiurus_ega,0.146253278
Myotis_davidii,0.146248626
Myotis_brandtii,0.146245646
Saccolaimus_flaviventris,0.146207195
Molossops_neglectus,0.146152598
Lasionycteris_noctivagans,0.146117114
Hipposideros_vittatus,0.14610684
Euderma_maculatum,0.14607669
Diaemus_youngi,0.14605273
Tadarida_teniotis,0.145993572
Lonchorhina_aurita,0.145992603
Histiotus_montanus,0.145990604
Vespadelus_pumilus,0.145877387
Micronycteris_megalotis,0.145805545
Miniopterus_magnater,0.145782843
Lasiurus_borealis,0.145766787
Cardioderma_cor,0.145667825
Ptenochirus_jagori,0.145633288
Diphylla_ecaudata,0.145552464
Hipposideros_lekaguli,0.145518889
Megaerops_niphanae,0.145467691
Pipistrellus_pygmaeus,0.145464895
Murina_aurata,0.145464652
Rhinolophus_cornutus,0.145451714
Pipistrellus_hesperus,0.145424075
Mystacina_tuberculata,0.145306789
Miniopterus_natalensis,0.145254227
Platyrrhinus_lineatus,0.14491444
Rhinolophus_monoceros,0.14488234
Vespadelus_regulus,0.144851583
Pteropus_admiralitatum,0.144845199
Eumops_perotis,0.14475716
Macrotus_californicus,0.144640918
Vespadelus_baverstocki,0.144602911
Mesophylla_macconnelli,0.144558932
Glossophaga_morenoi,0.144547748
Diclidurus_albus,0.144485767
Eumops_patagonicus,0.144373786
Anoura_caudifer,0.144321566
Lichonycteris_obscura,0.144233642
Myotis_macrodactylus,0.144224566
Hipposideros_speoris,0.144209696
Glossophaga_longirostris,0.144100938
Leptonycteris_curasoae,0.143951261
Miniopterus_pusillus,0.143802982
Tylonycteris_pachypus,0.143709838
Macroglossus_minimus,0.143631921
