"","genus","betacov","sarbecov","family","taxonomy","clean_hostnames","Species","pf_beta","Prediction"
"Paranyctimene_raptor","Paranyctimene",0,0,"Pteropodidae","Pteropodidae; Paranyctimene; Paranyctimene_raptor","Paranyctimene_raptor","Paranyctimene_raptor","other",0.121212121212115
"Nyctimene_aello","Nyctimene",0,0,"Pteropodidae","Pteropodidae; Nyctimene; Nyctimene_aello","Nyctimene_aello","Nyctimene_aello","other",0.121212121212115
"Nyctimene_certans","Nyctimene",0,0,"Pteropodidae","Pteropodidae; Nyctimene; Nyctimene_certans","Nyctimene_certans","Nyctimene_certans","other",0.121212121212115
"Nyctimene_cyclotis","Nyctimene",0,0,"Pteropodidae","Pteropodidae; Nyctimene; Nyctimene_cyclotis","Nyctimene_cyclotis","Nyctimene_cyclotis","other",0.121212121212115
"Nyctimene_major","Nyctimene",0,0,"Pteropodidae","Pteropodidae; Nyctimene; Nyctimene_major","Nyctimene_major","Nyctimene_major","other",0.121212121212115
"Nyctimene_robinsoni","Nyctimene",0,0,"Pteropodidae","Pteropodidae; Nyctimene; Nyctimene_robinsoni","Nyctimene_robinsoni","Nyctimene_robinsoni","other",0.121212121212115
"Nyctimene_albiventer","Nyctimene",0,0,"Pteropodidae","Pteropodidae; Nyctimene; Nyctimene_albiventer","Nyctimene_albiventer","Nyctimene_albiventer","other",0.121212121212115
"Nyctimene_draconilla","Nyctimene",0,0,"Pteropodidae","Pteropodidae; Nyctimene; Nyctimene_draconilla","Nyctimene_draconilla","Nyctimene_draconilla","other",0.121212121212115
"Nyctimene_minutus","Nyctimene",0,0,"Pteropodidae","Pteropodidae; Nyctimene; Nyctimene_minutus","Nyctimene_minutus","Nyctimene_minutus","other",0.0471124626817564
"Nyctimene_cephalotes","Nyctimene",0,0,"Pteropodidae","Pteropodidae; Nyctimene; Nyctimene_cephalotes","Nyctimene_cephalotes","Nyctimene_cephalotes","other",0.0471124626817564
"Nyctimene_rabori","Nyctimene",0,0,"Pteropodidae","Pteropodidae; Nyctimene; Nyctimene_rabori","Nyctimene_rabori","Nyctimene_rabori","other",0.0471124626817564
"Nyctimene_malaitensis","Nyctimene",0,0,"Pteropodidae","Pteropodidae; Nyctimene; Nyctimene_malaitensis","Nyctimene_malaitensis","Nyctimene_malaitensis","other",0.0471124626817564
"Nyctimene_masalai","Nyctimene",0,0,"Pteropodidae","Pteropodidae; Nyctimene; Nyctimene_masalai","Nyctimene_masalai","Nyctimene_masalai","other",0.0471124626817564
"Nyctimene_vizcaccia","Nyctimene",0,0,"Pteropodidae","Pteropodidae; Nyctimene; Nyctimene_vizcaccia","Nyctimene_vizcaccia","Nyctimene_vizcaccia","other",0.0471124626817564
"Sphaerias_blanfordi","Sphaerias",0,0,"Pteropodidae","Pteropodidae; Sphaerias; Sphaerias_blanfordi","Sphaerias_blanfordi","Sphaerias_blanfordi","other",0.121212121212115
"Alionycteris_paucidentata","Alionycteris",0,0,"Pteropodidae","Pteropodidae; Alionycteris; Alionycteris_paucidentata","Alionycteris_paucidentata","Alionycteris_paucidentata","other",0.0471124626817564
"Otopteropus_cartilagonodus","Otopteropus",0,0,"Pteropodidae","Pteropodidae; Otopteropus; Otopteropus_cartilagonodus","Otopteropus_cartilagonodus","Otopteropus_cartilagonodus","other",0.121212121212115
"Haplonycteris_fischeri","Haplonycteris",0,0,"Pteropodidae","Pteropodidae; Haplonycteris; Haplonycteris_fischeri","Haplonycteris_fischeri","Haplonycteris_fischeri","other",0.0471124626817564
"Latidens_salimalii","Latidens",0,0,"Pteropodidae","Pteropodidae; Latidens; Latidens_salimalii","Latidens_salimalii","Latidens_salimalii","other",0.0471124626817564
"Penthetor_lucasi","Penthetor",0,0,"Pteropodidae","Pteropodidae; Penthetor; Penthetor_lucasi","Penthetor_lucasi","Penthetor_lucasi","other",0.0471124626817564
"Thoopterus_nigrescens","Thoopterus",0,0,"Pteropodidae","Pteropodidae; Thoopterus; Thoopterus_nigrescens","Thoopterus_nigrescens","Thoopterus_nigrescens","other",0.0471124626817564
"Aethalops_alecto","Aethalops",0,0,"Pteropodidae","Pteropodidae; Aethalops; Aethalops_alecto","Aethalops_alecto","Aethalops_alecto","other",0.0471124626817564
"Aethalops_aequalis","Aethalops",0,0,"Pteropodidae","Pteropodidae; Aethalops; Aethalops_aequalis","Aethalops_aequalis","Aethalops_aequalis","other",0.0471124626817564
"Balionycteris_maculata","Balionycteris",0,0,"Pteropodidae","Pteropodidae; Balionycteris; Balionycteris_maculata","Balionycteris_maculata","Balionycteris_maculata","other",0.0471124626817564
