"R.affinis","Family","R.malayanus","Family1"
"1. Arctonyx collaris (P=0.33)","Mustelidae","1. Arctonyx collaris (P=0.29)","Mustelidae"
"2. Budorcas taxicolor (P=0.33)","Bovidae","2. Herpestes urva (P=0.28)","Herpestidae"
"3. Viverra tangalunga (P=0.32)","Viverridae","3. Lutrogale perspicillata (P=0.28)","Mustelidae"
"4. Manis javanica (P=0.3)","Manidae","4. Melogale personata (P=0.27)","Mustelidae"
"5. Mustela altaica (P=0.3)","Mustelidae","5. Viverra megaspila (P=0.26)","Viverridae"
"6. Ursus thibetanus (P=0.3)","Ursidae","6. Arctictis binturong (P=0.25)","Viverridae"
"7. Cynogale bennettii (P=0.29)","Viverridae","7. Euroscaptor klossi (P=0.25)","Talpidae"
"8. Elaphodus cephalophus (P=0.29)","Cervidae","8. Lutra sumatrana (P=0.25)","Mustelidae"
"9. Lutrogale perspicillata (P=0.29)","Mustelidae","9. Sus scrofa (P=0.25)","Suidae"
"10. Viverricula indica (P=0.29)","Viverridae","10. Capricornis milneedwardsii (P=0.23)","Bovidae"
"11. Capricornis sumatraensis (P=0.28)","Bovidae","11. Manis javanica (P=0.23)","Manidae"
"12. Chimarrogale himalayica (P=0.28)","Soricidae","12. Manis pentadactyla (P=0.23)","Manidae"
"13. Helarctos malayanus (P=0.28)","Ursidae","13. Mustela nudipes (P=0.23)","Mustelidae"
"14. Herpestes javanicus (P=0.27)","Herpestidae","14. Paguma larvata (P=0.23)","Viverridae"
"15. Hylomys suillus (P=0.27)","Erinaceidae","15. Panthera pardus (P=0.23)","Felidae"
"16. Mustela kathiah (P=0.27)","Mustelidae","16. Viverra zibetha (P=0.23)","Viverridae"
"17. Capricornis milneedwardsii (P=0.26)","Bovidae","17. Bandicota savilei (P=0.22)","Muridae"
"18. Catopuma temminckii (P=0.26)","Felidae","18. Chrotogale owstoni (P=0.22)","Viverridae"
"19. Crocidura negligens (P=0.26)","Soricidae","19. Crocidura fuliginosa (P=0.22)","Soricidae"
"20. Capricornis thar (P=0.25)","Bovidae","20. Crocidura vorax (P=0.22)","Soricidae"
