"","hOrder","hFamily","hGenus"
"1","Chiroptera","Rhinolophidae","Rhinolophus"
"18","Chiroptera","Hipposideridae","Hipposideros"
"52","Chiroptera","Hipposideridae","Coelops"
"59","Chiroptera","Megadermatidae","Megaderma"
"60","Chiroptera","Vespertilionidae","Murina"
"65","Chiroptera","Pteropodidae","Rousettus"
"66","Chiroptera","Hipposideridae","Aselliscus"
"69","Chiroptera","Nycteridae","Nycteris"
"72","Chiroptera","Vespertilionidae","Scotophilus"
"73","Chiroptera","Vespertilionidae","Kerivoula"
"74","Chiroptera","Vespertilionidae","Myotis"
"84","Chiroptera","Vespertilionidae","Pipistrellus"
"85","Chiroptera","Molossidae","Chaerephon"
"86","Chiroptera","Vespertilionidae","Miniopterus"
"92","Chiroptera","Vespertilionidae","Glischropus"
"97","Chiroptera","Emballonuridae","Saccolaimus"
"98","Chiroptera","Molossidae","Tadarida"
"99","Chiroptera","Emballonuridae","Taphozous"
"101","Chiroptera","Pteropodidae","Macroglossus"
"102","Chiroptera","Vespertilionidae","Harpiocephalus"
"104","Chiroptera","Vespertilionidae","Ia"
"106","Chiroptera","Vespertilionidae","Scotomanes"
"108","Chiroptera","Pteropodidae","Cynopterus"
"113","Chiroptera","Pteropodidae","Pteropus"
"114","Chiroptera","Vespertilionidae","Tylonycteris"
"115","Chiroptera","Vespertilionidae","Arielulus"
"116","Chiroptera","Molossidae","Cheiromeles"
"118","Chiroptera","Vespertilionidae","Falsistrellus"
"127","Chiroptera","Vespertilionidae","Eptesicus"
"128","Chiroptera","Vespertilionidae","Hesperoptenus"
"138","Chiroptera","Vespertilionidae","Barbastella"
"140","Chiroptera","Pteropodidae","Chironax"
"141","Chiroptera","Emballonuridae","Emballonura"
"148","Chiroptera","Vespertilionidae","Nyctalus"
"149","Chiroptera","Pteropodidae","Penthetor"
"152","Chiroptera","Pteropodidae","Sphaerias"
"156","Chiroptera","Vespertilionidae","Phoniscus"
"159","Chiroptera","Pteropodidae","Dyacopterus"
"164","Chiroptera","Vespertilionidae","Philetor"
"170","Chiroptera","Pteropodidae","Eonycteris"
