"R.affinis","R.malayanus"
"1. Rhinolophus macrotis (P=0.84)","1. Rhinolophus shameli (P=0.87)"
"2. Rhinolophus stheno (P=0.83)","2. Rhinolophus coelophyllus (P=0.84)"
"3. Rhinolophus malayanus (P=0.82)","3. Rhinolophus thomasi (P=0.84)"
"4. Rhinolophus acuminatus (P=0.81)","4. Rhinolophus affinis (P=0.82)"
"5. Rhinolophus pearsonii (P=0.78)","5. Rhinolophus marshalli (P=0.82)"
"6. Rhinolophus shameli (P=0.78)","6. Rhinolophus pearsonii (P=0.82)"
"7. Rhinolophus thomasi (P=0.78)","7. Rhinolophus yunanensis (P=0.79)"
"8. Rhinolophus sinicus (P=0.77)","8. Rhinolophus paradoxolophus (P=0.78)"
"9. Rhinolophus trifoliatus (P=0.76)","9. Rhinolophus macrotis (P=0.76)"
"10. Rhinolophus marshalli (P=0.72)","10. Rhinolophus acuminatus (P=0.75)"
"11. Rhinolophus shortridgei (P=0.71)","11. Rhinolophus siamensis (P=0.75)"
"12. Rhinolophus luctus (P=0.7)","12. Rhinolophus rouxii (P=0.72)"
"13. Rhinolophus sedulus (P=0.7)","13. Rhinolophus stheno (P=0.71)"
"14. Rhinolophus rouxii (P=0.69)","14. Rhinolophus luctus (P=0.69)"
"15. Rhinolophus pusillus (P=0.68)","15. Rhinolophus trifoliatus (P=0.65)"
"16. Rhinolophus ferrumequinum (P=0.67)","16. Rhinolophus pusillus (P=0.62)"
"17. Rhinolophus lepidus (P=0.67)","17. Rhinolophus borneensis (P=0.6)"
"18. Hipposideros pomona (P=0.66)","18. Hipposideros lylei (P=0.59)"
"19. Rhinolophus celebensis (P=0.66)","19. Rhinolophus shortridgei (P=0.59)"
"20. Rhinolophus paradoxolophus (P=0.66)","20. Rhinolophus sinicus (P=0.59)"
