"R.affinis","R.malayanus"
"Arctonyx_collaris","Arctonyx_collaris"
"Budorcas_taxicolor","Herpestes_urva"
"Viverra_tangalunga","Lutrogale_perspicillata"
"Manis_javanica","Melogale_personata"
"Mustela_altaica","Viverra_megaspila"
"Ursus_thibetanus","Arctictis_binturong"
"Cynogale_bennettii","Euroscaptor_klossi"
"Elaphodus_cephalophus","Lutra_sumatrana"
"Lutrogale_perspicillata","Sus_scrofa"
"Viverricula_indica","Capricornis_milneedwardsii"
"Capricornis_sumatraensis","Manis_javanica"
"Chimarrogale_himalayica","Manis_pentadactyla"
"Helarctos_malayanus","Mustela_nudipes"
"Herpestes_javanicus","Paguma_larvata"
"Hylomys_suillus","Panthera_pardus"
"Mustela_kathiah","Viverra_zibetha"
"Capricornis_milneedwardsii","Bandicota_savilei"
"Catopuma_temminckii","Chrotogale_owstoni"
"Crocidura_negligens","Crocidura_fuliginosa"
"Capricornis_thar","Crocidura_vorax"
