Sp,Binary,Ensemble.2,EnsembleBinary
Cynopterus sphinx,1,0.015991165834739585,TRUE
Rousettus leschenaultii,1,0.027224204757078426,TRUE
Rousettus aegyptiacus,1,0.024036933123297143,TRUE
Rhinolophus ferrumequinum,1,0.04307778397692509,TRUE
Eonycteris spelaea,1,0.03203192174708282,TRUE
Eidolon helvum,1,0.032521530688182226,TRUE
Cynopterus brachyotis,1,0.052486918960871744,TRUE
Rhinolophus luctus,0,0.029910234954787066,TRUE
Eptesicus serotinus,1,0.07895520307771918,TRUE
Pipistrellus pipistrellus,1,0.06221284977700192,TRUE
Myonycteris angolensis,1,0.03529341607294384,TRUE
Rhinolophus affinis,1,0.11219046611736842,TRUE
Pteropus giganteus,1,0.08155430921048824,TRUE
Epomophorus gambianus,1,0.08641663534649496,TRUE
Hipposideros armiger,1,0.08444801333538457,TRUE
Rhinolophus fumigatus,0,0.0459418966214207,TRUE
Micropteropus pusillus,1,0.10911056723981023,TRUE
Miniopterus schreibersii,1,0.09930731881361979,TRUE
Myotis daubentonii,1,0.10115528166090458,TRUE
Rousettus amplexicaudatus,1,0.17853594847892462,TRUE
Rhinolophus pusillus,1,0.12902401434782407,TRUE
Pipistrellus abramus,1,0.13209792615849938,TRUE
Rhinolophus yunanensis,0,0.0708955127202831,TRUE
Rhinolophus euryale,1,0.2045926986151818,TRUE
Rhinolophus pearsonii,1,0.1353633283693808,TRUE
Rhinolophus sinicus,1,0.1569105772940448,TRUE
Rhinolophus clivosus,1,0.2028609601065722,TRUE
Sphaerias blanfordi,0,0.06910226576410695,TRUE
Rhinolophus landeri,0,0.07460200024922022,TRUE
Epomophorus labiatus,1,0.211329712912242,TRUE
Rhinolophus osgoodi,0,0.07775264109655539,TRUE
Nyctalus noctula,1,0.19385157128602679,TRUE
Rhinolophus blasii,1,0.14494127946422639,TRUE
Hipposideros caffer,1,0.20900889713963577,TRUE
Macroglossus sobrinus,0,0.07377962071381684,TRUE
Pipistrellus kuhlii,1,0.21536081663079537,TRUE
Rhinolophus mehelyi,1,0.15414034445837713,TRUE
