Sp,Binary,Ensemble.2,EnsembleBinary
Cynopterus sphinx,1,0.014043803102009807,TRUE
Rousettus leschenaultii,1,0.02098946750060584,TRUE
Rousettus aegyptiacus,1,0.020797404066976086,TRUE
Rhinolophus ferrumequinum,1,0.037703982940349046,TRUE
Eonycteris spelaea,1,0.029911399607228863,TRUE
Eidolon helvum,1,0.03022463859960887,TRUE
Cynopterus brachyotis,1,0.046579604676325825,TRUE
Rhinolophus luctus,0,0.029869251948922336,TRUE
Eptesicus serotinus,1,0.06869088012374021,TRUE
Pipistrellus pipistrellus,1,0.061798652043690075,TRUE
Myonycteris angolensis,1,0.03524102664381698,TRUE
Rhinolophus affinis,1,0.09304930395865695,TRUE
Pteropus giganteus,1,0.07463074079943152,TRUE
Epomophorus gambianus,1,0.08190107660286154,TRUE
Hipposideros armiger,1,0.07730850253406801,TRUE
Rhinolophus fumigatus,0,0.04578748127118562,TRUE
Micropteropus pusillus,1,0.10130982659239664,TRUE
Miniopterus schreibersii,1,0.0993323018094869,TRUE
Myotis daubentonii,1,0.09632227767269586,TRUE
Rousettus amplexicaudatus,1,0.15324792851904376,TRUE
Rhinolophus pusillus,1,0.12427342134572102,TRUE
Pipistrellus abramus,1,0.1260125726736584,TRUE
Rhinolophus yunanensis,0,0.07159953049344261,TRUE
Rhinolophus euryale,1,0.1743282925567323,TRUE
Rhinolophus pearsonii,1,0.1013924402809365,TRUE
Rhinolophus sinicus,1,0.14122095102326962,TRUE
Rhinolophus clivosus,1,0.1756238401646467,TRUE
Sphaerias blanfordi,0,0.0666333028263472,TRUE
Rhinolophus landeri,0,0.0742901707135192,TRUE
Epomophorus labiatus,1,0.18098673857533482,TRUE
Rhinolophus osgoodi,0,0.08018254313768781,TRUE
Nyctalus noctula,1,0.17197325291132876,TRUE
Rhinolophus blasii,1,0.11165650977069788,TRUE
Hipposideros caffer,1,0.18608818730800428,TRUE
Macroglossus sobrinus,0,0.06944121462523838,TRUE
Pipistrellus kuhlii,1,0.18987767718599188,TRUE
Rhinolophus mehelyi,1,0.12408470223660269,TRUE
Rhinolophus macrotis,1,0.12363168842995415,TRUE
Rhinolophus lepidus,0,0.08926315318385733,TRUE
Rhinolophus hipposideros,1,0.12882930516361657,TRUE
Scotomanes ornatus,0,0.07719423294163225,TRUE
Rhinolophus marshalli,0,0.09099670835398083,TRUE
Hipposideros pomona,1,0.1532101596008213,TRUE
Rhinolophus paradoxolophus,0,0.09527548727550995,TRUE
Rhinolophus trifoliatus,0,0.09093972078454332,TRUE
Pipistrellus nathusii,1,0.19928606463354137,TRUE
Nyctalus leisleri,0,0.08139355933808273,TRUE
Megaerops niphanae,1,0.12686679083755398,TRUE
Scotophilus dinganii,1,0.20236556306266576,TRUE
Asellia tridens,0,0.09574057407721868,TRUE
Pipistrellus javanicus,0,0.09137189939773005,TRUE
Myotis ricketti,1,0.18364292627935846,TRUE
Scotophilus heathii,1,0.08556366796707081,TRUE
Megaerops ecaudatus,1,0.09414063394119103,TRUE
Pipistrellus ceylonicus,0,0.09524277502580444,TRUE
Murina leucogaster,0,0.1636365171135007,TRUE
Myotis altarium,0,0.09081709225097591,TRUE
Scotophilus leucogaster,1,0.21118103456651915,TRUE
Rhinolophus malayanus,1,0.10619258480993905,TRUE
Hipposideros pratti,1,0.2186986106377694,TRUE
Epomops franqueti,1,0.230850453254317,TRUE
Rhinopoma hardwickii,1,0.223627390622475,TRUE
Hypsugo savii,1,0.22286545039566466,TRUE
Rhinolophus thomasi,1,0.1629620765277303,TRUE
Myotis dasycneme,1,0.2235312132013852,TRUE
Pipistrellus rueppellii,0,0.10166398831842956,TRUE
Rhinolophus rex,1,0.25068307690465236,TRUE
Dyacopterus spadiceus,1,0.17199605713643162,TRUE
Myotis nattereri,0,0.20587137742926215,TRUE
Barbastella barbastellus,0,0.19833406730662373,TRUE
Taphozous melanopogon,0,0.19855657852319383,TRUE
Chaerephon pumilus,1,0.20668879634003015,TRUE
Taphozous perforatus,1,0.20453646007179307,TRUE
Mops condylurus,1,0.24108186766126696,TRUE
Vespertilio sinensis,1,0.24081721773057713,TRUE
Triaenops persicus,1,0.24707960834094786,TRUE
Hipposideros larvatus,1,0.2138241681766352,TRUE
Hypsignathus monstrosus,0,0.254645558197931,TRUE
Rhinolophus shameli,1,0.2740655877891367,TRUE
Chaerephon plicatus,1,0.25235482707437823,TRUE
Epomophorus wahlbergi,0,0.2617082593280822,TRUE
Myotis blythii,0,0.21379465293098165,TRUE
Nycticeinops schlieffeni,0,0.11206684828047424,TRUE
Myotis emarginatus,1,0.2517049494811354,TRUE
Neoromicia capensis,1,0.2598613590512428,TRUE
Plecotus auritus,1,0.21870596565947067,TRUE
Cynopterus horsfieldii,1,0.17287722589302984,TRUE
Myotis myotis,0,0.22415033418010444,TRUE
Rousettus lanosus,0,0.14473691191984392,TRUE
Pipistrellus hesperidus,1,0.18787465508291185,TRUE
Pteropus vampyrus,0,0.2276247361799813,TRUE
Ia io,1,0.16720551781858645,TRUE
Pipistrellus tenuis,1,0.12088609225194479,TRUE
Epomophorus minimus,0,0.1450614836396959,TRUE
Pipistrellus paterculus,0,0.13645723515851527,TRUE
Vespertilio murinus,1,0.27777197056411124,TRUE
Pipistrellus pygmaeus,1,0.18954896839480156,TRUE
Rhinolophus coelophyllus,0,0.3006938000881298,TRUE
Hypsugo pulveratus,1,0.12653913787761012,TRUE
Myotis formosus,0,0.12155091503141198,TRUE
Tadarida teniotis,1,0.27533378364870065,TRUE
Pipistrellus coromandra,1,0.29190265479825594,TRUE
Rhinolophus rouxii,0,0.3004765341621805,TRUE
Myonycteris torquata,1,0.21276217993532168,TRUE
Rhinolophus stheno,1,0.3057460122176683,TRUE
Scotophilus viridis,0,0.14151941171007587,TRUE
Hipposideros lylei,0,0.14612427510073625,TRUE
Aselliscus stoliczkanus,1,0.19869360064828986,TRUE
Pteropus lylei,1,0.252657489362374,TRUE
Tylonycteris pachypus,1,0.1961349780100948,TRUE
Rhinopoma microphyllum,0,0.15114986485809145,TRUE
Penthetor lucasi,0,0.15420177688143535,TRUE
Megaloglossus woermanni,1,0.3092026394967299,TRUE
Rhinolophus simulator,0,0.32115509339138254,TRUE
Hipposideros ruber,1,0.29971848847986915,TRUE
Myotis brandtii,0,0.2934640541103022,TRUE
Eidolon dupreanum,1,0.3108987861355602,TRUE
Eptesicus nilssonii,1,0.2072399334414601,TRUE
Nyctalus lasiopterus,0,0.3016587856560477,TRUE
Cynopterus minutus,0,0.16178478224677825,TRUE
Hipposideros ater,0,0.15426594064980198,TRUE
Tylonycteris robustula,0,0.3170720439226378,TRUE
Rousettus spinalatus,0,0.16824887716706505,TRUE
Rhinolophus mitratus,0,0.17224101627474103,TRUE
Nanonycteris veldkampii,1,0.16386437438456017,TRUE
Rhinolophus eloquens,0,0.2692788273194838,TRUE
Pteropus hypomelanus,0,0.27160203056176685,TRUE
Hipposideros galeritus,1,0.21477444154670006,TRUE
Plecotus austriacus,0,0.15080001879879465,TRUE
Falsistrellus affinis,0,0.1559561482417377,TRUE
Murina cyclotis,0,0.14730658608624025,TRUE
Scotophilus nigrita,0,0.30718142591339304,TRUE
Ptenochirus jagori,1,0.24678182019277378,TRUE
Megaerops wetmorei,0,0.16694266266296817,TRUE
Barbastella leucomelas,0,0.14902446840055766,TRUE
Eptesicus bottae,0,0.15857205100144023,TRUE
Rhinolophus acuminatus,1,0.18001349774795716,TRUE
Macroglossus minimus,1,0.317136653307233,TRUE
Myotis capaccinii,0,0.3226526892131974,TRUE
Coelops frithii,0,0.16918143381835252,TRUE
Rhinolophus cornutus,1,0.28791254383786796,TRUE
Rhinolophus hildebrandtii,0,0.28206649317828253,TRUE
Eonycteris major,0,0.17749530520811815,TRUE
Myotis bechsteinii,0,0.16358883496053514,TRUE
Harpyionycteris whiteheadi,0,0.17616577398731995,TRUE
Hipposideros cineraceus,0,0.3212697886020948,TRUE
Rhinolophus borneensis,0,0.18209444316001927,TRUE
Cynopterus titthaecheilus,0,0.1868589412269181,TRUE
Epomops buettikoferi,1,0.18604699185040754,TRUE
Myotis oxygnathus,0,0.15053398810545413,TRUE
Nyctalus plancyi,0,0.3466033441979253,TRUE
Pteropus alecto,1,0.30465301535816514,TRUE
Artibeus jamaicensis,1,0.2930459577865479,TRUE
Scotophilus kuhlii,1,0.30507489873392707,TRUE
Artibeus lituratus,1,0.3013132885601601,TRUE
Epomops dobsonii,0,0.3535230497376469,TRUE
Pteropus scapulatus,0,0.2952291802525594,TRUE
Hipposideros diadema,0,0.34855750119962986,TRUE
Murina huttoni,0,0.16838575380008175,TRUE
Myotis laniger,0,0.16630624671339997,TRUE
Myonycteris relicta,0,0.19298871402008932,TRUE
Neoromicia nanus,0,0.37424330080368673,TRUE
Nycteris thebaica,1,0.3340349609595765,TRUE
Hipposideros bicolor,0,0.3270574147479673,TRUE
Hesperoptenus tickelli,0,0.16819362061310028,TRUE
Scotonycteris zenkeri,0,0.19480022921395035,TRUE
Tadarida aegyptiaca,0,0.17202514581809175,TRUE
Chironax melanocephalus,0,0.19173344578792625,TRUE
Neoromicia rendalli,0,0.17398375776169872,TRUE
Rhinolophus subbadius,0,0.20473213096186052,TRUE
Epomophorus crypturus,0,0.1949718550725338,TRUE
Rhinolophus alcyone,0,0.20240419045728858,TRUE
Rhinolophus bocharicus,0,0.20746993581444353,TRUE
Eptesicus gobiensis,0,0.19190277304902426,TRUE
Scotonycteris ophiodon,0,0.20702582484949433,TRUE
Balionycteris maculata,0,0.1979713532006967,TRUE
Otonycteris hemprichii,0,0.18805997424480891,TRUE
Murina aurata,0,0.35978308553076926,TRUE
Nyctalus aviator,0,0.1947004067157227,TRUE
Rhinolophus philippinensis,0,0.21041616491953904,TRUE
Megaderma spasma,0,0.20219245721799606,TRUE
Megaderma lyra,0,0.19766394416839908,TRUE
Myotis montivagus,0,0.17692918912508365,TRUE
Rousettus madagascariensis,1,0.21084890989732857,TRUE
Myotis chinensis,0,0.17075092010901702,TRUE
Rhinolophus arcuatus,0,0.21554601002779744,TRUE
Rhinolophus darlingi,0,0.22449265848542058,TRUE
Hipposideros vittatus,0,0.3923009328399791,TRUE
Hipposideros gigas,1,0.386165863592297,TRUE
Rhinolophus beddomei,0,0.22504535024991176,TRUE
Pipistrellus rusticus,0,0.2137818874315014,TRUE
Pteropus intermedius,0,0.20743239669902744,TRUE
Murina tubinaris,0,0.19187959129183724,TRUE
Rhinolophus sedulus,0,0.22221902740642122,TRUE
Haplonycteris fischeri,0,0.21500578932560216,TRUE
Taphozous longimanus,0,0.19833698513020967,TRUE
Hipposideros speoris,0,0.38836257408477504,TRUE
Neoromicia somalicus,1,0.1984622339986592,TRUE
Coleura afra,0,0.21337544597524236,TRUE
Eonycteris robusta,0,0.22548922549266534,TRUE
Rousettus celebensis,0,0.23312451862517006,TRUE
Hipposideros commersoni,1,0.30716387684351426,TRUE
Scotozous dormeri,0,0.21495813903285238,TRUE
Myotis longipes,0,0.40649954721501513,TRUE
Rhinolophus shortridgei,0,0.2429192730525226,TRUE
Hipposideros lankadiva,0,0.40521431715532985,TRUE
Hypsugo cadornae,0,0.2020978408883951,TRUE
Myotis pequinius,1,0.22298584931043747,TRUE
Arielulus circumdatus,0,0.20973147763342537,TRUE
Ptenochirus minor,0,0.24141492603785286,TRUE
Carollia perspicillata,1,0.3850404133827062,TRUE
Hipposideros fulvus,0,0.23657255268977276,TRUE
Myotis macrodactylus,0,0.4147502899270441,TRUE
Pteropus dasymallus,0,0.2293385059142682,TRUE
Sturnira lilium,0,0.38519504936638754,TRUE
Chaerephon major,0,0.23551442224726837,TRUE
Pteropus rufus,1,0.4372985720296111,TRUE
Neoromicia tenuipinnis,0,0.22445690837340096,TRUE
Nyctalus montanus,0,0.2289881274217583,TRUE
Pteropus conspicillatus,1,0.4091600871383622,TRUE
Aethalops alecto,0,0.24441932384272522,TRUE
Myotis horsfieldii,1,0.40902602148043454,TRUE
Saccolaimus saccolaimus,0,0.4096942395317955,TRUE
Taphozous nudiventris,0,0.22882271569064297,TRUE
Casinycteris argynnis,0,0.2504067677242133,TRUE
Miniopterus pusillus,0,0.4265241478510097,TRUE
Miniopterus magnater,1,0.42074026492643624,TRUE
Otopteropus cartilagonodus,0,0.24606681242528544,TRUE
Scotophilus nux,0,0.44587191221209066,TRUE
Miniopterus inflatus,0,0.45493624340072997,TRUE
Mops midas,0,0.2406088800912629,TRUE
Pteronotus parnellii,1,0.4179085075931963,TRUE
Scotoecus hirundo,0,0.24205784228843696,TRUE
Neoromicia guineensis,0,0.24276964931792355,TRUE
Taphozous theobaldi,0,0.42572855559391354,TRUE
Epomophorus grandis,0,0.26405910904413477,TRUE
Hipposideros lekaguli,1,0.45828409482244375,TRUE
Hypsugo alaschanicus,0,0.24891431529342123,TRUE
Rhinolophus creaghi,1,0.39913012217104843,TRUE
Pteropus pumilus,0,0.24521882621244157,TRUE
Lavia frons,0,0.24946231841731226,TRUE
Myotis muricola,0,0.2156899980888899,TRUE
Eptesicus pachyotis,0,0.23438049876379785,TRUE
Hipposideros abae,0,0.475869418805141,FALSE
Myotis fimbriatus,0,0.24602000626630272,TRUE
Myotis annectans,0,0.22756747510269904,TRUE
Kerivoula hardwickii,0,0.21748583447237588,TRUE
Myotis sicarius,0,0.24426504078542102,TRUE
Kerivoula picta,0,0.22038430451754643,TRUE
Rhinolophus inops,0,0.2717896524527503,TRUE
Myotis csorbai,0,0.24552253894664394,TRUE
Myotis punicus,1,0.4592280036172133,TRUE
Hipposideros rotalis,0,0.24587616687805058,TRUE
Hipposideros turpis,0,0.2558813277809219,TRUE
Epomophorus minor,0,0.27200045220194546,TRUE
Rhinolophus monoceros,1,0.43036809074524196,TRUE
Pteropus leucopterus,0,0.2505063786349929,TRUE
Dyacopterus brooksi,0,0.2672653929731594,TRUE
Pipistrellus inexspectatus,0,0.4779319438783481,FALSE
Cardioderma cor,0,0.47218941989100954,FALSE
Myotis siligorensis,0,0.22366017348230874,TRUE
Myotis mystacinus,0,0.4497522760960845,TRUE
Philetor brachypterus,0,0.45340917897460264,TRUE
Rhinolophus swinnyi,0,0.28403962131795385,TRUE
Eptesicus nasutus,0,0.2495565943840024,TRUE
Rhinolophus subrufus,0,0.28200710759918984,TRUE
Hipposideros grandis,0,0.27394547520769114,TRUE
Hipposideros cyclops,0,0.26017536878709185,TRUE
Chaerephon nigeriae,0,0.25746422584731943,TRUE
Myotis ikonnikovi,0,0.2601359838875976,TRUE
Micropteropus intermedius,0,0.28325265523602866,TRUE
Carollia brevicauda,0,0.4520009012054171,TRUE
Eptesicus fuscus,0,0.4396325133602323,TRUE
Acerodon jubatus,0,0.25764499866572654,TRUE
Thoopterus nigrescens,0,0.2825900709996231,TRUE
Pteropus poliocephalus,0,0.46947782238900515,FALSE
Murina hilgendorfi,0,0.2687317676155308,TRUE
Rhinopoma muscatellum,0,0.28168252976269237,TRUE
Pipistrellus subflavus,0,0.4756107844035063,FALSE
Scotoecus albofuscus,0,0.2523320389033677,TRUE
Myotis tricolor,0,0.2646339579010647,TRUE
Murina fusca,0,0.26399561207023364,TRUE
Dobsonia moluccensis,1,0.5175933695459427,FALSE
Nyctimene rabori,0,0.2853950009428557,TRUE
Molossus molossus,0,0.4756070692118657,FALSE
Rhinolophus capensis,0,0.5439606197427499,FALSE
Lasiurus cinereus,0,0.5089124504844151,FALSE
Tadarida brasiliensis,0,0.47336389684806846,FALSE
Latidens salimalii,0,0.29282260726207776,TRUE
Chaerephon bivittatus,0,0.28068660308462917,TRUE
Myotis nigricans,0,0.45470007922628586,TRUE
Scotoecus pallidus,0,0.2806021967656385,TRUE
Aethalops aequalis,0,0.2940310674396672,TRUE
Tadarida latouchei,0,0.28682410083136545,TRUE
Harpiocephalus mordax,0,0.2550356089218013,TRUE
Pteronotus davyi,1,0.4916278575585002,FALSE
Nyctimene cephalotes,0,0.3029326047350851,TRUE
Glauconycteris variegata,1,0.2519312510915013,TRUE
Myotis schaubi,0,0.2817230354754683,TRUE
Megaerops kusnotoi,1,0.3047517882900863,TRUE
Uroderma bilobatum,0,0.48609859465849425,FALSE
Neoromicia helios,0,0.2829344895663293,TRUE
Pipistrellus deserti,1,0.2959468406907419,TRUE
Harpiocephalus harpia,0,0.25770346854392767,TRUE
Dobsonia minor,0,0.3110173131046311,TRUE
Glossophaga soricina,0,0.4868570364540185,FALSE
Rhinolophus megaphyllus,0,0.5660085125082654,FALSE
Eumops glaucinus,1,0.5326451488947767,FALSE
Plerotes anchietae,0,0.3118316716356735,TRUE
Myotis velifer,0,0.5190876467836915,FALSE
Tadarida insignis,0,0.3051871964762453,TRUE
Rhinolophus virgo,0,0.31883940091852286,TRUE
Myotis bombinus,0,0.2974218755685276,TRUE
Lasiurus ega,0,0.529454743557771,FALSE
Chaerephon leucogaster,0,0.2772809848317949,TRUE
Rhinolophus imaizumii,0,0.32740609851630037,TRUE
Acerodon mackloti,0,0.31378268281769905,TRUE
Mormoops megalophylla,0,0.5095329098607659,FALSE
Paracoelops megalotis,0,0.3174219796268595,TRUE
Desmodus rotundus,1,0.5030673109104481,FALSE
Rhinolophus deckenii,0,0.33235008992524623,TRUE
Nyctinomops laticaudatus,1,0.5583581039549548,FALSE
Nycteris macrotis,1,0.29770078270533745,TRUE
Chalinolobus gouldii,0,0.5627288951950741,FALSE
Acerodon celebensis,1,0.31171878726196617,TRUE
Rhinolophus denti,0,0.34096477750691867,TRUE
Rhinolophus formosae,0,0.3381667533802362,TRUE
Artibeus phaeotis,1,0.5403486363710008,FALSE
Chaerephon ansorgei,0,0.320342230502179,TRUE
Eptesicus furinalis,0,0.5690734021966644,FALSE
Arielulus aureocollaris,0,0.305335073324882,TRUE
Eptesicus tatei,0,0.32113481289654644,TRUE
Rhinolophus robinsoni,0,0.3413997420060742,TRUE
Molossus rufus,0,0.5162228883191895,FALSE
Rousettus bidens,0,0.3286832333789874,TRUE
Styloctenium wallacei,0,0.3142649299682567,TRUE
Myotis bocagii,0,0.27430533773349,TRUE
Pteropus neohibernicus,0,0.5625804782692067,FALSE
Cynopterus luzoniensis,0,0.34264677809821475,TRUE
Nycteris gambiensis,1,0.5332679019372831,FALSE
Nyctinomops macrotis,0,0.5730067987418056,FALSE
Harpyionycteris celebensis,0,0.3262131020040048,TRUE
Myotis lucifugus,0,0.5315673141526988,FALSE
Taphozous mauritianus,0,0.29544355787907123,TRUE
Epomophorus angolensis,0,0.3418818016789348,TRUE
Glauconycteris argentata,0,0.46766797413986017,FALSE
Pteropus chrysoproctus,0,0.3387364985649628,TRUE
Nyctimene minutus,0,0.3488456871841544,TRUE
Pteropus niger,0,0.3441090371296089,TRUE
Pipistrellus endoi,0,0.3462581706852995,TRUE
Myotis septentrionalis,0,0.5617165228526364,FALSE
Rousettus obliviosus,0,0.35503169221116315,TRUE
Pteropus mariannus,0,0.34441241688644325,TRUE
Cynopterus nusatenggara,0,0.3608895220144135,TRUE
Lasionycteris noctivagans,0,0.6234393798010968,FALSE
Hypsugo bodenheimeri,0,0.32332866243786407,TRUE
Pteropus caniceps,0,0.34396139343587945,TRUE
Rhinopoma macinnesi,0,0.351539091881274,TRUE
Nycteris hispida,0,0.318397089979368,TRUE
Rhinolophus celebensis,0,0.3650479378981669,TRUE
Saccolaimus flaviventris,0,0.597361328939433,FALSE
Miniopterus natalensis,0,0.6104516951617686,FALSE
Lasiurus intermedius,0,0.59745025748088,FALSE
Pteropus melanotus,0,0.3398445475267853,TRUE
Eptesicus bobrinskoi,0,0.3492186871764226,TRUE
Eptesicus brasiliensis,0,0.6009234419049286,FALSE
Myotis hajastanicus,0,0.3462082522628167,TRUE
Arielulus torquatus,0,0.33326217956588755,TRUE
Nycticeius humeralis,0,0.6226807544232885,FALSE
Syconycteris australis,0,0.5610932715706178,FALSE
